YEAR	C0006137	C0006222	
1945	0.666667	0.333333	
1946	0.360000	0.640000	
1947	0.475000	0.525000	
1948	0.435897	0.564103	
1949	0.523810	0.476190	
1950	0.556962	0.443038	
1951	0.608696	0.391304	
1952	0.669811	0.330189	
1953	0.494624	0.505376	
1954	0.600000	0.400000	
1955	0.531646	0.468354	
1956	0.521127	0.478873	
1957	0.430380	0.569620	
1958	0.514286	0.485714	
1959	0.513158	0.486842	
1960	0.500000	0.500000	
1961	0.472222	0.527778	
1962	0.426829	0.573171	
1963	0.600000	0.400000	
1964	0.563830	0.436170	
1965	0.481481	0.518519	
1966	0.540541	0.459459	
1967	0.352273	0.647727	
1968	0.441860	0.558140	
1969	0.543103	0.456897	
1970	0.462264	0.537736	
1971	0.463918	0.536082	
1972	0.414815	0.585185	
1973	0.504587	0.495413	
1974	0.519685	0.480315	
1975	0.573864	0.426136	
1976	0.542373	0.457627	
1977	0.553333	0.446667	
1978	0.698225	0.301775	
1979	0.523256	0.476744	
1980	0.762590	0.237410	
1981	0.892655	0.107345	
1982	0.662722	0.337278	
1983	0.591549	0.408451	
1984	0.754808	0.245192	
1985	0.759542	0.240458	
1986	0.670886	0.329114	
1987	0.723022	0.276978	
1988	0.690763	0.309237	
1989	0.761446	0.238554	
1990	0.777027	0.222973	
1991	0.782158	0.217842	
1992	0.825243	0.174757	
1993	0.870518	0.129482	
1994	0.820037	0.179963	
1995	0.886121	0.113879	
1996	0.828125	0.171875	
1997	0.868027	0.131973	
1998	0.900110	0.099890	
1999	0.913741	0.086259	
2000	0.932031	0.067969	
2001	0.898338	0.101662	
2002	0.907503	0.092497	
2003	0.915958	0.084042	
2004	0.913024	0.086976	
2005	0.920846	0.079154	
2006	0.917513	0.082487	
2007	0.947573	0.052427	
2008	0.946866	0.053134	
2009	0.947524	0.052476	
2010	0.955773	0.044227	
2011	0.960379	0.039621	
2012	0.958684	0.041316	
2013	0.969898	0.030102	
2014	0.980030	0.019970	
2015	0.966935	0.033065	
2016	0.978446	0.021554	
2017	0.973972	0.026028	
2018	0.981101	0.018899	
2019	1.000000	0.000000	
