YEAR	C0008115	C0039021	
1945	1.000000	0.000000	
1946	0.884615	0.115385	
1947	0.678571	0.321429	
1948	0.744186	0.255814	
1949	0.611111	0.388889	
1950	0.428571	0.571429	
1951	0.200000	0.800000	
1952	0.350000	0.650000	
1953	0.466667	0.533333	
1954	0.211538	0.788462	
1955	0.288889	0.711111	
1956	0.235294	0.764706	
1957	0.555556	0.444444	
1958	0.512195	0.487805	
1959	0.682540	0.317460	
1960	0.549020	0.450980	
1961	0.400000	0.600000	
1962	0.581395	0.418605	
1963	0.600000	0.400000	
1964	0.425000	0.575000	
1965	0.413793	0.586207	
1966	0.365854	0.634146	
1967	0.342105	0.657895	
1968	0.200000	0.800000	
1969	0.062500	0.937500	
1970	0.125000	0.875000	
1971	0.162791	0.837209	
1972	0.506667	0.493333	
1973	0.666667	0.333333	
1974	0.656566	0.343434	
1975	0.579787	0.420213	
1976	0.447761	0.552239	
1977	0.483871	0.516129	
1978	0.455224	0.544776	
1979	0.448276	0.551724	
1980	0.615385	0.384615	
1981	0.723473	0.276527	
1982	0.729373	0.270627	
1983	0.681633	0.318367	
1984	0.671186	0.328814	
1985	0.677852	0.322148	
1986	0.675900	0.324100	
1987	0.743733	0.256267	
1988	0.702576	0.297424	
1989	0.758964	0.241036	
1990	0.726210	0.273790	
1991	0.754573	0.245427	
1992	0.759036	0.240964	
1993	0.710280	0.289720	
1994	0.759804	0.240196	
1995	0.763393	0.236607	
1996	0.761787	0.238213	
1997	0.738095	0.261905	
1998	0.733461	0.266539	
1999	0.767965	0.232035	
2000	0.758435	0.241565	
2001	0.805059	0.194941	
2002	0.802343	0.197657	
2003	0.822195	0.177805	
2004	0.839076	0.160924	
2005	0.851375	0.148625	
2006	0.874532	0.125468	
2007	0.913437	0.086562	
2008	0.891882	0.108118	
2009	0.920080	0.079920	
2010	0.927811	0.072189	
2011	0.931813	0.068187	
2012	0.943722	0.056278	
2013	0.955309	0.044691	
2014	0.951299	0.048701	
2015	0.956510	0.043490	
2016	0.964284	0.035716	
2017	0.951609	0.048391	
2018	0.955297	0.044703	
2019	1.000000	0.000000	
