YEAR	C0006675	C0006754	C0006823	
1945	0.613636	0.204545	0.181818	
1946	0.556391	0.218045	0.225564	
1947	0.598540	0.240876	0.160584	
1948	0.515152	0.280303	0.204545	
1949	0.585714	0.207143	0.207143	
1950	0.603865	0.149758	0.246377	
1951	0.582583	0.153153	0.264264	
1952	0.626374	0.179487	0.194139	
1953	0.730114	0.130682	0.139205	
1954	0.780000	0.096667	0.123333	
1955	0.765957	0.077128	0.156915	
1956	0.782486	0.115819	0.101695	
1957	0.783290	0.130548	0.086162	
1958	0.835544	0.061008	0.103448	
1959	0.822844	0.090909	0.086247	
1960	0.777042	0.125828	0.097130	
1961	0.876827	0.056367	0.066806	
1962	0.803435	0.093511	0.103053	
1963	0.790732	0.082212	0.127055	
1964	0.771360	0.101083	0.127557	
1965	0.759591	0.111253	0.129156	
1966	0.807095	0.089800	0.103104	
1967	0.872745	0.056030	0.071225	
1968	0.873276	0.074138	0.052586	
1969	0.888456	0.066303	0.045242	
1970	0.881432	0.062640	0.055928	
1971	0.899741	0.055627	0.044631	
1972	0.892325	0.050801	0.056875	
1973	0.899288	0.055282	0.045430	
1974	0.910628	0.039130	0.050242	
1975	0.943616	0.029339	0.027045	
1976	0.956970	0.019937	0.023094	
1977	0.949001	0.026527	0.024472	
1978	0.941826	0.029613	0.028561	
1979	0.933156	0.028800	0.038044	
1980	0.949258	0.024876	0.025866	
1981	0.950671	0.023322	0.026007	
1982	0.955965	0.021704	0.022331	
1983	0.955720	0.024484	0.019796	
1984	0.957913	0.020866	0.021220	
1985	0.957332	0.021744	0.020924	
1986	0.961786	0.016572	0.021642	
1987	0.955996	0.027347	0.016656	
1988	0.940217	0.033990	0.025793	
1989	0.931504	0.035913	0.032583	
1990	0.932954	0.031063	0.035983	
1991	0.930809	0.039435	0.029756	
1992	0.919576	0.035574	0.044851	
1993	0.921056	0.029963	0.048981	
1994	0.922427	0.031578	0.045994	
1995	0.912511	0.036086	0.051402	
1996	0.897235	0.045298	0.057467	
1997	0.938852	0.025814	0.035335	
1998	0.932266	0.029460	0.038274	
1999	0.918127	0.034625	0.047249	
2000	0.920546	0.033891	0.045563	
2001	0.894780	0.048852	0.056368	
2002	0.884696	0.054179	0.061125	
2003	0.869315	0.046179	0.084506	
2004	0.856695	0.059124	0.084181	
2005	0.850558	0.066687	0.082755	
2006	0.825680	0.064517	0.109803	
2007	0.827818	0.076137	0.096045	
2008	0.848969	0.057305	0.093725	
2009	0.856957	0.055804	0.087239	
2010	0.840312	0.067800	0.091888	
2011	0.832895	0.050629	0.116476	
2012	0.844215	0.050396	0.105389	
2013	0.847088	0.044142	0.108769	
2014	0.829325	0.049494	0.121180	
2015	0.829548	0.047153	0.123299	
2016	0.833699	0.044621	0.121680	
2017	0.813634	0.045448	0.140918	
2018	0.801631	0.051577	0.146792	
2019	0.974763	0.025237	0.000000	
