YEAR	C0007634	C1136359	
1945	1.000000	0.000000	
1946	1.000000	0.000000	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	0.000000	0.000000	
1961	0.000000	0.000000	
1962	0.000000	0.000000	
1963	0.000000	0.000000	
1964	0.000000	0.000000	
1965	0.000000	0.000000	
1966	1.000000	0.000000	
1967	0.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	1.000000	0.000000	
1997	1.000000	0.000000	
1998	1.000000	0.000000	
1999	0.987500	0.012500	
2000	0.981949	0.018051	
2001	0.993976	0.006024	
2002	0.887454	0.112546	
2003	0.716535	0.283465	
2004	0.750276	0.249724	
2005	0.780694	0.219306	
2006	0.838405	0.161595	
2007	0.780295	0.219705	
2008	0.831335	0.168665	
2009	0.867886	0.132114	
2010	0.878834	0.121166	
2011	0.899461	0.100539	
2012	0.850594	0.149406	
2013	0.774381	0.225619	
2014	0.745759	0.254241	
2015	0.819312	0.180688	
2016	0.811970	0.188030	
2017	0.808748	0.191252	
2018	0.875882	0.124118	
