YEAR	C0011343	C1706094	
1946	1.000000	0.000000	
1947	0.000000	1.000000	
1948	0.333333	0.666667	
1949	0.444444	0.555556	
1950	0.357143	0.642857	
1951	0.480000	0.520000	
1952	0.266667	0.733333	
1953	0.266667	0.733333	
1954	0.400000	0.600000	
1955	0.444444	0.555556	
1956	0.666667	0.333333	
1957	0.166667	0.833333	
1958	0.500000	0.500000	
1959	0.333333	0.666667	
1960	0.200000	0.800000	
1961	0.400000	0.600000	
1962	0.500000	0.500000	
1963	0.333333	0.666667	
1964	0.923077	0.076923	
1965	0.454545	0.545455	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	0.900000	0.100000	
1971	0.312500	0.687500	
1972	0.285714	0.714286	
1973	0.250000	0.750000	
1974	0.315789	0.684211	
1975	0.521127	0.478873	
1976	0.232143	0.767857	
1977	0.364407	0.635593	
1978	0.287425	0.712575	
1979	0.255319	0.744681	
1980	0.395833	0.604167	
1981	0.205882	0.794118	
1982	0.414894	0.585106	
1983	0.357143	0.642857	
1984	0.415929	0.584071	
1985	0.544118	0.455882	
1986	0.463768	0.536232	
1987	0.460000	0.540000	
1988	0.335196	0.664804	
1989	0.274571	0.725429	
1990	0.393120	0.606880	
1991	0.536184	0.463816	
1992	0.394015	0.605985	
1993	0.346626	0.653374	
1994	0.328076	0.671924	
1995	0.471503	0.528497	
1996	0.618076	0.381924	
1997	0.646018	0.353982	
1998	0.551429	0.448571	
1999	0.492424	0.507576	
2000	0.497354	0.502646	
2001	0.455738	0.544262	
2002	0.562092	0.437908	
2003	0.374718	0.625282	
2004	0.532637	0.467363	
2005	0.432900	0.567100	
2006	0.426160	0.573840	
2007	0.311526	0.688474	
2008	0.264980	0.735020	
2009	0.359584	0.640416	
2010	0.283186	0.716814	
2011	0.233236	0.766764	
2012	0.549236	0.450764	
2013	0.290498	0.709502	
2014	0.199148	0.800852	
2015	0.355556	0.644444	
2016	0.353018	0.646982	
2017	0.270115	0.729885	
2018	0.427938	0.572062	
