YEAR	C0008354	C0008359	
1945	1.000000	0.000000	
1946	0.972973	0.027027	
1947	0.976744	0.023256	
1948	0.909091	0.090909	
1949	0.923077	0.076923	
1950	0.925926	0.074074	
1951	0.989583	0.010417	
1952	0.962963	0.037037	
1953	0.875000	0.125000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	0.925926	0.074074	
1957	0.971429	0.028571	
1958	1.000000	0.000000	
1959	0.964286	0.035714	
1960	1.000000	0.000000	
1961	0.951220	0.048780	
1962	0.945946	0.054054	
1963	0.833333	0.166667	
1964	0.784615	0.215385	
1965	0.827869	0.172131	
1966	0.912088	0.087912	
1967	0.813433	0.186567	
1968	0.798995	0.201005	
1969	0.771084	0.228916	
1970	0.884615	0.115385	
1971	0.837638	0.162362	
1972	0.870445	0.129555	
1973	0.817308	0.182692	
1974	0.862944	0.137056	
1975	0.869186	0.130814	
1976	0.840304	0.159696	
1977	0.824742	0.175258	
1978	0.865385	0.134615	
1979	0.824390	0.175610	
1980	0.846667	0.153333	
1981	0.854651	0.145349	
1982	0.917647	0.082353	
1983	0.871287	0.128713	
1984	0.767442	0.232558	
1985	0.867470	0.132530	
1986	0.804124	0.195876	
1987	0.685950	0.314050	
1988	0.713514	0.286486	
1989	0.722467	0.277533	
1990	0.672269	0.327731	
1991	0.838889	0.161111	
1992	0.820796	0.179204	
1993	0.815054	0.184946	
1994	0.864548	0.135452	
1995	0.877023	0.122977	
1996	0.938976	0.061024	
1997	0.852941	0.147059	
1998	0.793774	0.206226	
1999	0.832787	0.167213	
2000	0.809211	0.190789	
2001	0.901606	0.098394	
2002	0.912000	0.088000	
2003	0.908096	0.091904	
2004	0.826087	0.173913	
2005	0.850356	0.149644	
2006	0.875706	0.124294	
2007	0.721631	0.278369	
2008	0.918072	0.081928	
2009	0.818030	0.181970	
2010	0.892974	0.107026	
2011	0.804801	0.195199	
2012	0.840017	0.159983	
2013	0.748270	0.251730	
2014	0.750389	0.249611	
2015	0.840903	0.159097	
2016	0.761433	0.238567	
2017	0.810718	0.189282	
2018	0.780500	0.219500	
