YEAR	C0001613	C0007776	C0022655	
1945	0.368421	0.631579	0.000000	
1946	0.443182	0.556818	0.000000	
1947	0.533898	0.457627	0.008475	
1948	0.536585	0.439024	0.024390	
1949	0.563636	0.427273	0.009091	
1950	0.651584	0.343891	0.004525	
1951	0.618582	0.376528	0.004890	
1952	0.615044	0.380531	0.004425	
1953	0.588957	0.402863	0.008180	
1954	0.535792	0.464208	0.000000	
1955	0.455752	0.530973	0.013274	
1956	0.469287	0.520885	0.009828	
1957	0.470167	0.517900	0.011933	
1958	0.479070	0.500000	0.020930	
1959	0.422897	0.553738	0.023364	
1960	0.402353	0.576471	0.021176	
1961	0.402516	0.559748	0.037736	
1962	0.399240	0.577947	0.022814	
1963	0.376645	0.597039	0.026316	
1964	0.313916	0.656958	0.029126	
1965	0.114286	0.865934	0.019780	
1966	0.000000	1.000000	0.000000	
1967	0.004739	0.995261	0.000000	
1968	0.007737	0.992263	0.000000	
1969	0.000000	1.000000	0.000000	
1970	0.000000	1.000000	0.000000	
1971	0.006342	0.980973	0.012685	
1972	0.003810	0.918095	0.078095	
1973	0.020638	0.803002	0.176360	
1974	0.144246	0.653160	0.202593	
1975	0.134785	0.681182	0.184033	
1976	0.147363	0.674717	0.177920	
1977	0.136542	0.677112	0.186346	
1978	0.129157	0.692905	0.177938	
1979	0.110194	0.750971	0.138835	
1980	0.125628	0.746003	0.128369	
1981	0.081565	0.764877	0.153558	
1982	0.064678	0.787639	0.147682	
1983	0.067438	0.784132	0.148430	
1984	0.073508	0.796771	0.129720	
1985	0.076178	0.806545	0.117277	
1986	0.068737	0.795825	0.135438	
1987	0.067277	0.830105	0.102618	
1988	0.052320	0.840722	0.106959	
1989	0.067237	0.833690	0.099073	
1990	0.053448	0.843103	0.103448	
1991	0.044063	0.875414	0.080523	
1992	0.039095	0.871006	0.089899	
1993	0.037629	0.887112	0.075258	
1994	0.034565	0.874909	0.090527	
1995	0.042256	0.875751	0.081993	
1996	0.026473	0.898210	0.075317	
1997	0.038840	0.896710	0.064450	
1998	0.043162	0.884720	0.072118	
1999	0.025825	0.910689	0.063486	
2000	0.031170	0.915603	0.053226	
2001	0.026414	0.901600	0.071987	
2002	0.028679	0.908466	0.062854	
2003	0.023176	0.923734	0.053090	
2004	0.022184	0.925670	0.052146	
2005	0.021774	0.935555	0.042671	
2006	0.015192	0.938021	0.046787	
2007	0.007811	0.969806	0.022383	
2008	0.013356	0.958299	0.028344	
2009	0.007571	0.969049	0.023380	
2010	0.012508	0.970815	0.016677	
2011	0.008183	0.975521	0.016296	
2012	0.008886	0.971706	0.019408	
2013	0.008513	0.965656	0.025832	
2014	0.009923	0.968078	0.021999	
2015	0.009310	0.979535	0.011156	
2016	0.004300	0.978638	0.017062	
2017	0.003059	0.977737	0.019204	
2018	0.011956	0.954207	0.033837	
