YEAR	C0040441	C0085163	
1948	1.000000	0.000000	
1949	0.000000	0.000000	
1950	0.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	0.000000	0.000000	
1955	0.000000	0.000000	
1956	0.000000	0.000000	
1957	1.000000	0.000000	
1958	0.000000	0.000000	
1959	0.000000	0.000000	
1960	0.000000	0.000000	
1961	0.000000	0.000000	
1962	0.000000	0.000000	
1963	1.000000	0.000000	
1964	0.000000	0.000000	
1965	1.000000	0.000000	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	0.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	0.900000	0.100000	
1991	0.105882	0.894118	
1992	0.083333	0.916667	
1993	0.079646	0.920354	
1994	0.049645	0.950355	
1995	0.103030	0.896970	
1996	0.063218	0.936782	
1997	0.029240	0.970760	
1998	0.086667	0.913333	
1999	0.175676	0.824324	
2000	0.188312	0.811688	
2001	0.148438	0.851562	
2002	0.073529	0.926471	
2003	0.235772	0.764228	
2004	0.178571	0.821429	
2005	0.315068	0.684932	
2006	0.187879	0.812121	
2007	0.276680	0.723320	
2008	0.241509	0.758491	
2009	0.230769	0.769231	
2010	0.253906	0.746094	
2011	0.097421	0.902579	
2012	0.210843	0.789157	
2013	0.088020	0.911980	
2014	0.162100	0.837900	
2015	0.091993	0.908007	
2016	0.072106	0.927894	
2017	0.157088	0.842912	
2018	0.114943	0.885057	
