YEAR	C0002395	C0114838	
1946	1.000000	0.000000	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	1.000000	0.000000	
1966	0.000000	0.000000	
1967	0.000000	0.000000	
1968	0.000000	0.000000	
1969	0.000000	0.000000	
1970	0.000000	0.000000	
1971	1.000000	0.000000	
1972	0.000000	0.000000	
1973	0.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	0.997678	0.002322	
1990	0.997221	0.002779	
1991	0.988448	0.011552	
1992	0.980938	0.019062	
1993	0.976879	0.023121	
1994	0.969747	0.030253	
1995	0.957706	0.042294	
1996	0.946250	0.053750	
1997	0.935867	0.064133	
1998	0.939631	0.060369	
1999	0.933575	0.066425	
2000	0.934728	0.065272	
2001	0.914910	0.085090	
2002	0.929342	0.070658	
2003	0.909324	0.090676	
2004	0.908232	0.091768	
2005	0.917956	0.082044	
2006	0.929517	0.070483	
2007	0.923297	0.076703	
2008	0.946674	0.053326	
2009	0.924545	0.075455	
2010	0.931463	0.068537	
2011	0.941988	0.058012	
2012	0.945105	0.054895	
2013	0.933785	0.066215	
2014	0.956867	0.043133	
2015	0.954236	0.045764	
2016	0.965768	0.034232	
2017	0.959577	0.040423	
2018	0.975211	0.024789	
