YEAR	C0011037	C0026256	
1946	1.000000	0.000000	
1947	0.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	0.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	0.800000	0.200000	
1960	1.000000	0.000000	
1961	0.666667	0.333333	
1962	1.000000	0.000000	
1963	0.727273	0.272727	
1964	0.833333	0.166667	
1965	0.750000	0.250000	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	0.823529	0.176471	
1974	0.750000	0.250000	
1975	0.648649	0.351351	
1976	0.648649	0.351351	
1977	0.269231	0.730769	
1978	0.228571	0.771429	
1979	0.142857	0.857143	
1980	0.281250	0.718750	
1981	0.121212	0.878788	
1982	0.152174	0.847826	
1983	0.307692	0.692308	
1984	0.404255	0.595745	
1985	0.212766	0.787234	
1986	0.085714	0.914286	
1987	0.212766	0.787234	
1988	0.000000	1.000000	
1989	0.244444	0.755556	
1990	0.047619	0.952381	
1991	0.018868	0.981132	
1992	0.127660	0.872340	
1993	0.000000	1.000000	
1994	0.028571	0.971429	
1995	0.348485	0.651515	
1996	0.600000	0.400000	
1997	0.000000	1.000000	
1998	0.445946	0.554054	
1999	0.019231	0.980769	
2000	0.159420	0.840580	
2001	0.296875	0.703125	
2002	0.135135	0.864865	
2003	0.384615	0.615385	
2004	0.500000	0.500000	
2005	0.365079	0.634921	
2006	0.312500	0.687500	
2007	0.390244	0.609756	
2008	0.268293	0.731707	
2009	0.396226	0.603774	
2010	0.188034	0.811966	
2011	0.222222	0.777778	
2012	0.222222	0.777778	
2013	0.104167	0.895833	
2014	0.033195	0.966805	
2015	0.129630	0.870370	
2016	0.145455	0.854545	
2017	0.057377	0.942623	
2018	0.024242	0.975758	
