YEAR	C0006147	C0022925	
1945	0.714286	0.285714	
1946	0.765306	0.234694	
1947	0.682540	0.317460	
1948	0.700000	0.300000	
1949	0.680556	0.319444	
1950	0.740741	0.259259	
1951	0.761905	0.238095	
1952	0.760204	0.239796	
1953	0.717105	0.282895	
1954	0.655914	0.344086	
1955	0.614525	0.385475	
1956	0.634615	0.365385	
1957	0.607595	0.392405	
1958	0.615385	0.384615	
1959	0.617647	0.382353	
1960	0.677419	0.322581	
1961	0.652174	0.347826	
1962	0.660494	0.339506	
1963	0.629630	0.370370	
1964	0.683938	0.316062	
1965	0.474359	0.525641	
1966	0.255102	0.744898	
1967	0.325203	0.674797	
1968	0.301676	0.698324	
1969	0.275449	0.724551	
1970	0.305344	0.694656	
1971	0.338462	0.661538	
1972	0.432099	0.567901	
1973	0.200000	0.800000	
1974	0.331429	0.668571	
1975	0.341211	0.658789	
1976	0.362702	0.637298	
1977	0.388031	0.611969	
1978	0.457704	0.542296	
1979	0.482679	0.517321	
1980	0.451028	0.548972	
1981	0.416851	0.583149	
1982	0.453888	0.546112	
1983	0.440485	0.559515	
1984	0.488578	0.511422	
1985	0.459572	0.540428	
1986	0.442922	0.557078	
1987	0.410397	0.589603	
1988	0.490085	0.509915	
1989	0.555133	0.444867	
1990	0.562173	0.437827	
1991	0.484909	0.515091	
1992	0.599613	0.400387	
1993	0.607862	0.392138	
1994	0.599558	0.400442	
1995	0.606258	0.393742	
1996	0.614921	0.385079	
1997	0.594941	0.405059	
1998	0.599319	0.400681	
1999	0.591919	0.408081	
2000	0.661679	0.338321	
2001	0.639665	0.360335	
2002	0.659785	0.340215	
2003	0.682383	0.317617	
2004	0.683444	0.316556	
2005	0.680065	0.319935	
2006	0.703178	0.296822	
2007	0.695136	0.304864	
2008	0.730528	0.269472	
2009	0.680756	0.319244	
2010	0.726759	0.273241	
2011	0.676562	0.323438	
2012	0.704461	0.295539	
2013	0.752277	0.247723	
2014	0.740300	0.259700	
2015	0.785039	0.214961	
2016	0.742609	0.257391	
2017	0.755005	0.244995	
2018	0.725333	0.274667	
2019	0.000000	1.000000	
