YEAR	C0023008	C0033348	
1945	1.000000	0.000000	
1946	1.000000	0.000000	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	0.967742	0.032258	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	0.976744	0.023256	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	1.000000	0.000000	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	0.973913	0.026087	
1986	0.977679	0.022321	
1987	0.929412	0.070588	
1988	0.952191	0.047809	
1989	0.941504	0.058496	
1990	0.906452	0.093548	
1991	0.909091	0.090909	
1992	0.899110	0.100890	
1993	0.917738	0.082262	
1994	0.899061	0.100939	
1995	0.953789	0.046211	
1996	0.923599	0.076401	
1997	0.935262	0.064738	
1998	0.898990	0.101010	
1999	0.942260	0.057740	
2000	0.915125	0.084875	
2001	0.841765	0.158235	
2002	0.935434	0.064566	
2003	0.933295	0.066705	
2004	0.935826	0.064174	
2005	0.869354	0.130646	
2006	0.894168	0.105832	
2007	0.936582	0.063418	
2008	0.906216	0.093784	
2009	0.940682	0.059318	
2010	0.944716	0.055284	
2011	0.952315	0.047685	
2012	0.940536	0.059464	
2013	0.961850	0.038150	
2014	0.963701	0.036299	
2015	0.978612	0.021388	
2016	0.974677	0.025323	
2017	0.983458	0.016542	
2018	0.972651	0.027349	
