YEAR	C0079786	C0919482	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	1.000000	0.000000	
1997	1.000000	0.000000	
1998	0.588235	0.411765	
1999	1.000000	0.000000	
2000	0.833333	0.166667	
2001	1.000000	0.000000	
2002	0.525000	0.475000	
2003	0.750000	0.250000	
2004	0.692308	0.307692	
2005	0.057034	0.942966	
2006	0.814815	0.185185	
2007	0.000000	1.000000	
2008	0.760000	0.240000	
2009	0.062016	0.937984	
2010	0.977528	0.022472	
2011	0.692308	0.307692	
2012	0.800000	0.200000	
2013	0.035088	0.964912	
2014	0.116788	0.883212	
2015	0.952381	0.047619	
2016	1.000000	0.000000	
2017	0.020134	0.979866	
2018	0.888889	0.111111	
