YEAR	C0024487	C0025235	
1947	0.000000	1.000000	
1948	0.000000	0.000000	
1949	0.000000	0.000000	
1950	0.000000	1.000000	
1951	0.000000	1.000000	
1952	0.000000	1.000000	
1953	0.000000	1.000000	
1954	0.000000	1.000000	
1955	0.000000	1.000000	
1956	0.000000	1.000000	
1957	0.000000	1.000000	
1958	0.000000	1.000000	
1959	0.000000	1.000000	
1960	0.000000	1.000000	
1961	0.090909	0.909091	
1962	0.071429	0.928571	
1963	0.181818	0.818182	
1964	0.111111	0.888889	
1965	0.000000	1.000000	
1966	0.440000	0.560000	
1967	0.291667	0.708333	
1968	0.210526	0.789474	
1969	0.625000	0.375000	
1970	0.730769	0.269231	
1971	0.700000	0.300000	
1972	0.675676	0.324324	
1973	0.775510	0.224490	
1974	0.846154	0.153846	
1975	0.892308	0.107692	
1976	0.826667	0.173333	
1977	0.865854	0.134146	
1978	0.907407	0.092593	
1979	0.842105	0.157895	
1980	0.703704	0.296296	
1981	0.855072	0.144928	
1982	0.916667	0.083333	
1983	0.926829	0.073171	
1984	0.864407	0.135593	
1985	0.900621	0.099379	
1986	0.930131	0.069869	
1987	0.930769	0.069231	
1988	0.938202	0.061798	
1989	0.947653	0.052347	
1990	0.964567	0.035433	
1991	0.978227	0.021773	
1992	0.956461	0.043539	
1993	0.970255	0.029745	
1994	0.960141	0.039859	
1995	0.968716	0.031284	
1996	0.974359	0.025641	
1997	0.975769	0.024231	
1998	0.976939	0.023061	
1999	0.988648	0.011352	
2000	0.966406	0.033594	
2001	0.985441	0.014559	
2002	0.984681	0.015319	
2003	0.988095	0.011905	
2004	0.972043	0.027957	
2005	0.980053	0.019947	
2006	0.978399	0.021601	
2007	0.982103	0.017897	
2008	0.969364	0.030636	
2009	0.989531	0.010469	
2010	0.986267	0.013733	
2011	0.993026	0.006974	
2012	0.993707	0.006293	
2013	0.987276	0.012724	
2014	0.978140	0.021860	
2015	0.962165	0.037835	
2016	0.994088	0.005912	
2017	0.997233	0.002767	
2018	0.987342	0.012658	
