YEAR	C0026131	C0026140	
1945	0.525000	0.475000	
1946	0.912409	0.087591	
1947	0.915385	0.084615	
1948	0.886364	0.113636	
1949	0.913978	0.086022	
1950	0.841880	0.158120	
1951	0.797101	0.202899	
1952	0.804560	0.195440	
1953	0.815047	0.184953	
1954	0.768939	0.231061	
1955	0.831683	0.168317	
1956	0.793860	0.206140	
1957	0.826840	0.173160	
1958	0.829384	0.170616	
1959	0.770909	0.229091	
1960	0.815217	0.184783	
1961	0.798658	0.201342	
1962	0.808989	0.191011	
1963	0.800633	0.199367	
1964	0.826715	0.173285	
1965	0.872727	0.127273	
1966	0.902584	0.097416	
1967	0.882114	0.117886	
1968	0.873508	0.126492	
1969	0.900000	0.100000	
1970	0.877647	0.122353	
1971	0.840077	0.159923	
1972	0.801923	0.198077	
1973	0.838879	0.161121	
1974	0.832000	0.168000	
1975	0.839752	0.160248	
1976	0.774449	0.225551	
1977	0.721166	0.278834	
1978	0.704590	0.295410	
1979	0.688690	0.311310	
1980	0.654820	0.345180	
1981	0.656314	0.343686	
1982	0.628483	0.371517	
1983	0.652063	0.347937	
1984	0.660844	0.339156	
1985	0.637567	0.362433	
1986	0.628518	0.371482	
1987	0.664160	0.335840	
1988	0.683812	0.316188	
1989	0.662118	0.337882	
1990	0.674688	0.325312	
1991	0.712466	0.287534	
1992	0.700946	0.299054	
1993	0.696198	0.303802	
1994	0.716144	0.283856	
1995	0.716294	0.283706	
1996	0.735997	0.264003	
1997	0.744072	0.255928	
1998	0.716773	0.283227	
1999	0.732612	0.267388	
2000	0.698385	0.301615	
2001	0.726115	0.273885	
2002	0.748845	0.251155	
2003	0.775893	0.224107	
2004	0.708296	0.291704	
2005	0.732975	0.267025	
2006	0.730159	0.269841	
2007	0.753180	0.246820	
2008	0.758806	0.241194	
2009	0.784718	0.215282	
2010	0.789671	0.210329	
2011	0.761128	0.238872	
2012	0.718646	0.281354	
2013	0.717471	0.282529	
2014	0.786566	0.213434	
2015	0.719623	0.280377	
2016	0.722422	0.277578	
2017	0.725639	0.274361	
2018	0.788760	0.211240	
2019	0.681818	0.318182	
