YEAR	C0013570	C0079941	
1946	1.000000	0.000000	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	0.000000	0.000000	
1962	0.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	0.000000	0.000000	
1966	0.000000	0.000000	
1967	0.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	0.866667	0.133333	
1983	0.939394	0.060606	
1984	1.000000	0.000000	
1985	0.961538	0.038462	
1986	0.937500	0.062500	
1987	1.000000	0.000000	
1988	0.823529	0.176471	
1989	0.472222	0.527778	
1990	0.058355	0.941645	
1991	0.022222	0.977778	
1992	0.007042	0.992958	
1993	0.014116	0.985884	
1994	0.009916	0.990084	
1995	0.012775	0.987225	
1996	0.019274	0.980726	
1997	0.008796	0.991204	
1998	0.008485	0.991515	
1999	0.013333	0.986667	
2000	0.026203	0.973797	
2001	0.012587	0.987413	
2002	0.022634	0.977366	
2003	0.008294	0.991706	
2004	0.007303	0.992697	
2005	0.026150	0.973850	
2006	0.012910	0.987090	
2007	0.016676	0.983324	
2008	0.008323	0.991677	
2009	0.017499	0.982501	
2010	0.014365	0.985635	
2011	0.013264	0.986736	
2012	0.032032	0.967968	
2013	0.029901	0.970099	
2014	0.008157	0.991843	
2015	0.027438	0.972562	
2016	0.026769	0.973231	
2017	0.025964	0.974036	
2018	0.041483	0.958517	
2019	0.000000	1.000000	
