YEAR	C0032447	C0033223	
1970	0.000000	1.000000	
1971	0.850000	0.150000	
1972	0.888889	0.111111	
1973	0.918033	0.081967	
1974	0.947368	0.052632	
1975	0.867232	0.132768	
1976	0.810390	0.189610	
1977	0.885475	0.114525	
1978	0.819945	0.180055	
1979	0.811005	0.188995	
1980	0.797260	0.202740	
1981	0.842500	0.157500	
1982	0.781491	0.218509	
1983	0.753906	0.246094	
1984	0.854545	0.145455	
1985	0.911480	0.088520	
1986	0.886598	0.113402	
1987	0.831354	0.168646	
1988	0.713555	0.286445	
1989	0.823741	0.176259	
1990	0.774566	0.225434	
1991	0.880524	0.119476	
1992	0.797136	0.202864	
1993	0.903226	0.096774	
1994	0.926272	0.073728	
1995	0.926690	0.073310	
1996	0.959057	0.040943	
1997	0.946740	0.053260	
1998	0.962158	0.037842	
1999	0.958780	0.041220	
2000	0.972757	0.027243	
2001	0.977228	0.022772	
2002	0.984567	0.015433	
2003	0.970659	0.029341	
2004	0.980608	0.019392	
2005	0.992869	0.007131	
2006	0.984066	0.015934	
2007	0.991163	0.008837	
2008	0.989261	0.010739	
2009	0.991775	0.008225	
2010	0.990985	0.009015	
2011	0.993028	0.006972	
2012	0.994817	0.005183	
2013	0.990847	0.009153	
2014	0.994229	0.005771	
2015	0.993011	0.006989	
2016	0.994218	0.005782	
2017	0.983407	0.016593	
2018	0.967270	0.032730	
2019	1.000000	0.000000	
