YEAR	C0030855	C0031381	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	0.000000	0.000000	
1956	1.000000	0.000000	
1957	0.000000	0.000000	
1958	1.000000	0.000000	
1959	0.800000	0.200000	
1960	1.000000	0.000000	
1961	0.000000	1.000000	
1962	0.000000	1.000000	
1963	0.750000	0.250000	
1964	0.000000	1.000000	
1965	0.428571	0.571429	
1966	0.000000	1.000000	
1967	0.000000	1.000000	
1968	0.000000	1.000000	
1969	0.000000	1.000000	
1970	0.333333	0.666667	
1971	0.000000	1.000000	
1972	0.600000	0.400000	
1973	0.421053	0.578947	
1974	0.437500	0.562500	
1975	0.219178	0.780822	
1976	0.433071	0.566929	
1977	0.386364	0.613636	
1978	0.200000	0.800000	
1979	0.144000	0.856000	
1980	0.176471	0.823529	
1981	0.171662	0.828338	
1982	0.128171	0.871829	
1983	0.123418	0.876582	
1984	0.086006	0.913994	
1985	0.212329	0.787671	
1986	0.187229	0.812771	
1987	0.140980	0.859020	
1988	0.125000	0.875000	
1989	0.085190	0.914810	
1990	0.137574	0.862426	
1991	0.327052	0.672948	
1992	0.220952	0.779048	
1993	0.315464	0.684536	
1994	0.201005	0.798995	
1995	0.229258	0.770742	
1996	0.293913	0.706087	
1997	0.240000	0.760000	
1998	0.223438	0.776563	
1999	0.322835	0.677165	
2000	0.270318	0.729682	
2001	0.481865	0.518135	
2002	0.493913	0.506087	
2003	0.382677	0.617323	
2004	0.442827	0.557173	
2005	0.487988	0.512012	
2006	0.608355	0.391645	
2007	0.478643	0.521357	
2008	0.477146	0.522854	
2009	0.413934	0.586066	
2010	0.242169	0.757831	
2011	0.400000	0.600000	
2012	0.555056	0.444944	
2013	0.410783	0.589217	
2014	0.556317	0.443683	
2015	0.359927	0.640073	
2016	0.293852	0.706148	
2017	0.353280	0.646720	
2018	0.194346	0.805654	
