YEAR	C0032624	C0151636	
1946	0.000000	1.000000	
1947	1.000000	0.000000	
1948	0.000000	0.000000	
1949	1.000000	0.000000	
1950	0.666667	0.333333	
1951	0.333333	0.666667	
1952	0.000000	1.000000	
1953	0.916667	0.083333	
1954	0.000000	1.000000	
1955	0.285714	0.714286	
1956	0.700000	0.300000	
1957	0.363636	0.636364	
1958	0.600000	0.400000	
1959	0.357143	0.642857	
1960	0.375000	0.625000	
1961	0.600000	0.400000	
1962	0.187500	0.812500	
1963	0.642857	0.357143	
1964	0.333333	0.666667	
1965	0.444444	0.555556	
1966	0.000000	0.000000	
1967	0.000000	0.000000	
1968	0.000000	0.000000	
1969	0.000000	0.000000	
1970	0.000000	0.000000	
1971	0.000000	0.000000	
1972	0.000000	0.000000	
1973	0.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	0.971831	0.028169	
1989	0.992593	0.007407	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	0.955056	0.044944	
1993	0.985294	0.014706	
1994	0.979592	0.020408	
1995	0.648352	0.351648	
1996	0.492188	0.507812	
1997	0.576720	0.423280	
1998	0.578544	0.421456	
1999	0.571885	0.428115	
2000	0.414286	0.585714	
2001	0.609836	0.390164	
2002	0.713836	0.286164	
2003	0.617978	0.382022	
2004	0.531807	0.468193	
2005	0.506944	0.493056	
2006	0.619952	0.380048	
2007	0.515284	0.484716	
2008	0.529984	0.470016	
2009	0.462656	0.537344	
2010	0.410435	0.589565	
2011	0.417344	0.582656	
2012	0.498228	0.501772	
2013	0.438628	0.561372	
2014	0.472650	0.527350	
2015	0.339223	0.660777	
2016	0.354688	0.645312	
2017	0.321810	0.678190	
2018	0.458746	0.541254	
2019	1.000000	0.000000	
