YEAR	C0026780	C0030583	
1945	0.545455	0.454545	
1946	0.875000	0.125000	
1947	0.923077	0.076923	
1948	0.863636	0.136364	
1949	0.833333	0.166667	
1950	0.552632	0.447368	
1951	0.723684	0.276316	
1952	0.831579	0.168421	
1953	0.766990	0.233010	
1954	0.809524	0.190476	
1955	0.704918	0.295082	
1956	0.761905	0.238095	
1957	0.862069	0.137931	
1958	0.827160	0.172840	
1959	0.773585	0.226415	
1960	0.740000	0.260000	
1961	0.653061	0.346939	
1962	0.735849	0.264151	
1963	0.659574	0.340426	
1964	0.757143	0.242857	
1965	0.639344	0.360656	
1966	0.816327	0.183673	
1967	0.776119	0.223881	
1968	0.765306	0.234694	
1969	0.791667	0.208333	
1970	0.785714	0.214286	
1971	0.767857	0.232143	
1972	0.750000	0.250000	
1973	0.750000	0.250000	
1974	0.809524	0.190476	
1975	0.886957	0.113043	
1976	0.776923	0.223077	
1977	0.852174	0.147826	
1978	0.798658	0.201342	
1979	0.776923	0.223077	
1980	0.759690	0.240310	
1981	0.814815	0.185185	
1982	0.845238	0.154762	
1983	0.790909	0.209091	
1984	0.814516	0.185484	
1985	0.873494	0.126506	
1986	0.884259	0.115741	
1987	0.838235	0.161765	
1988	0.835000	0.165000	
1989	0.836257	0.163743	
1990	0.801047	0.198953	
1991	0.730769	0.269231	
1992	0.659091	0.340909	
1993	0.611842	0.388158	
1994	0.768707	0.231293	
1995	0.815166	0.184834	
1996	0.681481	0.318519	
1997	0.857143	0.142857	
1998	0.876543	0.123457	
1999	0.883249	0.116751	
2000	0.891304	0.108696	
2001	0.822785	0.177215	
2002	0.887850	0.112150	
2003	0.848168	0.151832	
2004	0.801843	0.198157	
2005	0.746377	0.253623	
2006	0.886889	0.113111	
2007	0.910615	0.089385	
2008	0.877404	0.122596	
2009	0.870968	0.129032	
2010	0.884319	0.115681	
2011	0.893843	0.106157	
2012	0.902121	0.097879	
2013	0.916279	0.083721	
2014	0.929598	0.070402	
2015	0.939791	0.060209	
2016	0.907441	0.092559	
2017	0.925000	0.075000	
2018	0.935556	0.064444	
