YEAR	C0035335	C0035930	
1946	1.000000	0.000000	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	0.526316	0.473684	
1952	0.800000	0.200000	
1953	0.625000	0.375000	
1954	0.600000	0.400000	
1955	0.687500	0.312500	
1956	0.666667	0.333333	
1957	0.781250	0.218750	
1958	0.636364	0.363636	
1959	0.526316	0.473684	
1960	0.736842	0.263158	
1961	0.500000	0.500000	
1962	0.558824	0.441176	
1963	0.612903	0.387097	
1964	0.666667	0.333333	
1965	0.468085	0.531915	
1966	0.512195	0.487805	
1967	0.543478	0.456522	
1968	0.578125	0.421875	
1969	0.544118	0.455882	
1970	0.651163	0.348837	
1971	0.373626	0.626374	
1972	0.468354	0.531646	
1973	0.476190	0.523810	
1974	0.509434	0.490566	
1975	0.510101	0.489899	
1976	0.572222	0.427778	
1977	0.635965	0.364035	
1978	0.730769	0.269231	
1979	0.683983	0.316017	
1980	0.700441	0.299559	
1981	0.589641	0.410359	
1982	0.609865	0.390135	
1983	0.727941	0.272059	
1984	0.712389	0.287611	
1985	0.642005	0.357995	
1986	0.738041	0.261959	
1987	0.829026	0.170974	
1988	0.792419	0.207581	
1989	0.884567	0.115433	
1990	0.814103	0.185897	
1991	0.886578	0.113422	
1992	0.861742	0.138258	
1993	0.884228	0.115772	
1994	0.823970	0.176030	
1995	0.891204	0.108796	
1996	0.928839	0.071161	
1997	0.851521	0.148479	
1998	0.871705	0.128295	
1999	0.803309	0.196691	
2000	0.760000	0.240000	
2001	0.838602	0.161398	
2002	0.657988	0.342012	
2003	0.800872	0.199128	
2004	0.807506	0.192494	
2005	0.929520	0.070480	
2006	0.930973	0.069027	
2007	0.945652	0.054348	
2008	0.848227	0.151773	
2009	0.955882	0.044118	
2010	0.955604	0.044396	
2011	0.891503	0.108497	
2012	0.929805	0.070195	
2013	0.958086	0.041914	
2014	0.907742	0.092258	
2015	0.972260	0.027740	
2016	0.977875	0.022125	
2017	0.972130	0.027870	
2018	0.968012	0.031988	
