YEAR	C1175175	C1175743	
1953	0.500000	0.500000	
1954	0.000000	0.000000	
1955	0.000000	0.000000	
1956	0.000000	0.000000	
1957	0.000000	0.000000	
1958	0.000000	0.000000	
1959	0.000000	0.000000	
1960	0.000000	0.000000	
1961	0.000000	0.000000	
1962	0.000000	0.000000	
1963	0.000000	0.000000	
1964	0.000000	0.000000	
1965	0.000000	0.000000	
1966	0.000000	0.000000	
1967	0.000000	0.000000	
1968	0.000000	0.000000	
1969	0.000000	0.000000	
1970	0.000000	0.000000	
1971	0.000000	0.000000	
1972	0.000000	0.000000	
1973	0.000000	0.000000	
1974	0.000000	0.000000	
1975	0.000000	0.000000	
1976	0.000000	0.000000	
1977	0.000000	0.000000	
1978	0.000000	0.000000	
1979	0.000000	0.000000	
1980	0.000000	0.000000	
1981	0.000000	0.000000	
1982	0.000000	0.000000	
1983	0.000000	0.000000	
1984	0.000000	0.000000	
1985	0.000000	0.000000	
1986	0.000000	0.000000	
1987	0.000000	0.000000	
1988	0.000000	0.000000	
1989	0.000000	0.000000	
1990	0.000000	0.000000	
1991	0.000000	0.000000	
1992	0.000000	0.000000	
1993	0.000000	0.000000	
1994	0.000000	0.000000	
1995	0.000000	0.000000	
1996	0.000000	0.000000	
1997	0.000000	0.000000	
1998	0.000000	0.000000	
1999	0.000000	0.000000	
2000	0.000000	0.000000	
2001	0.000000	0.000000	
2002	0.750000	0.250000	
2003	0.711079	0.288921	
2004	0.626253	0.373747	
2005	0.536414	0.463586	
2006	0.518246	0.481754	
2007	0.504705	0.495295	
2008	0.456207	0.543793	
2009	0.498407	0.501593	
2010	0.501647	0.498353	
2011	0.388449	0.611551	
2012	0.389823	0.610177	
2013	0.385532	0.614468	
2014	0.377966	0.622034	
2015	0.417685	0.582315	
2016	0.395087	0.604913	
2017	0.490276	0.509724	
2018	0.445122	0.554878	
