YEAR	C0039493	C0039496	
1946	0.777778	0.222222	
1947	0.833333	0.166667	
1948	0.846154	0.153846	
1949	0.857143	0.142857	
1950	0.900000	0.100000	
1951	0.851852	0.148148	
1952	0.764706	0.235294	
1953	0.913043	0.086957	
1954	0.928571	0.071429	
1955	0.833333	0.166667	
1956	0.944444	0.055556	
1957	0.885714	0.114286	
1958	0.875000	0.125000	
1959	0.727273	0.272727	
1960	0.933333	0.066667	
1961	0.857143	0.142857	
1962	0.791667	0.208333	
1963	0.857143	0.142857	
1964	0.741935	0.258065	
1965	0.894737	0.105263	
1966	0.808824	0.191176	
1967	0.848485	0.151515	
1968	0.861538	0.138462	
1969	0.756098	0.243902	
1970	0.762500	0.237500	
1971	0.747368	0.252632	
1972	0.771084	0.228916	
1973	0.790000	0.210000	
1974	0.795699	0.204301	
1975	0.731707	0.268293	
1976	0.675000	0.325000	
1977	0.611111	0.388889	
1978	0.578378	0.421622	
1979	0.703125	0.296875	
1980	0.700000	0.300000	
1981	0.625616	0.374384	
1982	0.691542	0.308458	
1983	0.543689	0.456311	
1984	0.620419	0.379581	
1985	0.607330	0.392670	
1986	0.621547	0.378453	
1987	0.727907	0.272093	
1988	0.717489	0.282511	
1989	0.658497	0.341503	
1990	0.643098	0.356902	
1991	0.714588	0.285412	
1992	0.781022	0.218978	
1993	0.876011	0.123989	
1994	0.861413	0.138587	
1995	0.758182	0.241818	
1996	0.812749	0.187251	
1997	0.767123	0.232877	
1998	0.801217	0.198783	
1999	0.776335	0.223665	
2000	0.761578	0.238422	
2001	0.801047	0.198953	
2002	0.743633	0.256367	
2003	0.794408	0.205592	
2004	0.751012	0.248988	
2005	0.846939	0.153061	
2006	0.827529	0.172471	
2007	0.837419	0.162581	
2008	0.772440	0.227560	
2009	0.833862	0.166138	
2010	0.681034	0.318966	
2011	0.870283	0.129717	
2012	0.793354	0.206646	
2013	0.765517	0.234483	
2014	0.883157	0.116843	
2015	0.806338	0.193662	
2016	0.885145	0.114855	
2017	0.879510	0.120490	
2018	0.967495	0.032505	
