YEAR	C0041484	C0041485	
1945	0.500000	0.500000	
1946	0.176471	0.823529	
1947	0.307692	0.692308	
1948	0.263158	0.736842	
1949	0.545455	0.454545	
1950	0.324324	0.675676	
1951	0.270270	0.729730	
1952	0.243243	0.756757	
1953	0.200000	0.800000	
1954	0.390244	0.609756	
1955	0.315789	0.684211	
1956	0.250000	0.750000	
1957	0.351852	0.648148	
1958	0.245283	0.754717	
1959	0.170732	0.829268	
1960	0.177778	0.822222	
1961	0.272727	0.727273	
1962	0.180952	0.819048	
1963	0.102564	0.897436	
1964	0.234783	0.765217	
1965	0.066038	0.933962	
1966	0.000000	1.000000	
1967	0.000000	1.000000	
1968	0.000000	1.000000	
1969	0.000000	1.000000	
1970	0.000000	1.000000	
1971	0.000000	1.000000	
1972	0.004202	0.995798	
1973	0.043668	0.956332	
1974	0.027624	0.972376	
1975	0.015267	0.984733	
1976	0.054773	0.945227	
1977	0.154589	0.845411	
1978	0.212644	0.787356	
1979	0.130638	0.869362	
1980	0.174312	0.825688	
1981	0.177584	0.822416	
1982	0.156368	0.843632	
1983	0.175084	0.824916	
1984	0.147959	0.852041	
1985	0.194579	0.805421	
1986	0.152610	0.847390	
1987	0.151659	0.848341	
1988	0.193956	0.806044	
1989	0.186167	0.813833	
1990	0.165700	0.834300	
1991	0.142311	0.857689	
1992	0.136561	0.863439	
1993	0.129076	0.870924	
1994	0.111716	0.888284	
1995	0.106597	0.893403	
1996	0.131529	0.868471	
1997	0.088091	0.911909	
1998	0.125176	0.874824	
1999	0.123103	0.876897	
2000	0.197177	0.802823	
2001	0.153103	0.846897	
2002	0.153536	0.846464	
2003	0.164139	0.835861	
2004	0.181369	0.818631	
2005	0.206278	0.793722	
2006	0.249093	0.750907	
2007	0.253086	0.746914	
2008	0.187154	0.812846	
2009	0.276373	0.723627	
2010	0.201626	0.798374	
2011	0.271977	0.728023	
2012	0.349525	0.650475	
2013	0.317480	0.682520	
2014	0.402039	0.597961	
2015	0.383509	0.616491	
2016	0.292624	0.707376	
2017	0.453274	0.546726	
2018	0.633531	0.366469	
2019	1.000000	0.000000	
