YEAR	C0012931	C0012933	
1974	0.000000	1.000000	
1975	0.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	0.841530	0.158470	
1982	0.561338	0.438662	
1983	0.540260	0.459740	
1984	0.495327	0.504673	
1985	0.489104	0.510896	
1986	0.457077	0.542923	
1987	0.463612	0.536388	
1988	0.414286	0.585714	
1989	0.274648	0.725352	
1990	0.364286	0.635714	
1991	0.251429	0.748571	
1992	0.155945	0.844055	
1993	0.218750	0.781250	
1994	0.127419	0.872581	
1995	0.142615	0.857385	
1996	0.095035	0.904965	
1997	0.063170	0.936830	
1998	0.046205	0.953795	
1999	0.044161	0.955839	
2000	0.029812	0.970188	
2001	0.057971	0.942029	
2002	0.040458	0.959542	
2003	0.034851	0.965149	
2004	0.029935	0.970065	
2005	0.040580	0.959420	
2006	0.032823	0.967177	
2007	0.057582	0.942418	
2008	0.021214	0.978786	
2009	0.044349	0.955651	
2010	0.017484	0.982516	
2011	0.051542	0.948458	
2012	0.027515	0.972485	
2013	0.028389	0.971611	
2014	0.009812	0.990188	
2015	0.014755	0.985245	
2016	0.009227	0.990773	
2017	0.008250	0.991750	
2018	0.010774	0.989226	
2019	0.000000	1.000000	
