YEAR	C0015435	C0036881	
1946	0.000000	1.000000	
1947	0.000000	1.000000	
1948	0.000000	0.000000	
1949	0.000000	1.000000	
1950	0.000000	1.000000	
1951	0.000000	1.000000	
1952	0.000000	1.000000	
1953	0.000000	1.000000	
1954	0.000000	0.000000	
1955	0.000000	1.000000	
1956	0.333333	0.666667	
1957	0.000000	0.000000	
1958	0.500000	0.500000	
1959	0.000000	1.000000	
1960	0.000000	1.000000	
1961	0.500000	0.500000	
1962	0.631579	0.368421	
1963	0.500000	0.500000	
1964	0.727273	0.272727	
1965	0.200000	0.800000	
1966	0.000000	1.000000	
1967	0.000000	1.000000	
1968	0.000000	1.000000	
1969	0.000000	1.000000	
1970	0.000000	1.000000	
1971	0.000000	1.000000	
1972	0.000000	1.000000	
1973	0.000000	1.000000	
1974	0.000000	1.000000	
1975	0.800000	0.200000	
1976	0.920000	0.080000	
1977	0.833333	0.166667	
1978	0.863636	0.136364	
1979	0.884615	0.115385	
1980	0.928571	0.071429	
1981	0.962963	0.037037	
1982	0.857143	0.142857	
1983	0.943662	0.056338	
1984	0.970588	0.029412	
1985	0.948718	0.051282	
1986	0.963636	0.036364	
1987	0.975000	0.025000	
1988	0.969697	0.030303	
1989	0.942857	0.057143	
1990	0.913043	0.086957	
1991	1.000000	0.000000	
1992	0.941176	0.058824	
1993	0.916667	0.083333	
1994	0.925926	0.074074	
1995	0.884615	0.115385	
1996	0.931034	0.068966	
1997	1.000000	0.000000	
1998	0.961538	0.038462	
1999	0.966667	0.033333	
2000	1.000000	0.000000	
2001	0.818182	0.181818	
2002	0.777778	0.222222	
2003	0.785714	0.214286	
2004	0.892857	0.107143	
2005	1.000000	0.000000	
2006	0.980000	0.020000	
2007	0.958333	0.041667	
2008	0.843750	0.156250	
2009	0.500000	0.500000	
2010	0.529412	0.470588	
2011	0.942529	0.057471	
2012	0.666667	0.333333	
2013	0.784615	0.215385	
2014	0.315789	0.684211	
2015	0.235294	0.764706	
2016	0.694444	0.305556	
2017	0.625000	0.375000	
2018	0.000000	1.000000	
