YEAR	C0039277	C0330845	
1946	3	0	
1947	3	1	
1948	4	0	
1949	5	1	
1950	8	4	
1951	10	1	
1952	12	4	
1953	7	0	
1954	13	2	
1955	13	3	
1956	12	2	
1957	11	2	
1958	10	2	
1959	13	2	
1960	11	3	
1961	14	3	
1962	14	6	
1963	15	5	
1964	11	2	
1965	16	3	
1966	10	0	
1967	20	0	
1968	15	0	
1969	14	0	
1970	14	0	
1971	22	0	
1972	13	0	
1973	14	0	
1974	25	0	
1975	48	0	
1976	34	0	
1977	36	0	
1978	58	0	
1979	72	1	
1980	45	0	
1981	36	0	
1982	37	0	
1983	37	0	
1984	61	0	
1985	60	0	
1986	50	0	
1987	51	0	
1988	59	0	
1989	66	0	
1990	52	0	
1991	68	0	
1992	66	0	
1993	44	0	
1994	62	0	
1995	79	0	
1996	84	0	
1997	85	1	
1998	92	2	
1999	77	17	
2000	82	12	
2001	139	32	
2002	84	30	
2003	112	59	
2004	139	53	
2005	112	56	
2006	117	47	
2007	152	72	
2008	133	136	
2009	226	130	
2010	277	111	
2011	247	128	
2012	353	280	
2013	408	232	
2014	323	338	
2015	300	154	
2016	507	240	
2017	570	219	
2018	193	207	
