YEAR	C0085105	C0085209	
1952	3	0	
1953	1	0	
1954	2	0	
1955	1	0	
1956	0	0	
1957	0	0	
1958	1	0	
1959	0	0	
1960	0	0	
1961	0	0	
1962	0	0	
1963	0	0	
1964	0	0	
1965	0	0	
1966	0	0	
1967	0	0	
1968	0	0	
1969	0	0	
1970	0	0	
1971	0	0	
1972	0	0	
1973	0	0	
1974	0	0	
1975	0	0	
1976	0	0	
1977	0	0	
1978	0	0	
1979	0	0	
1980	0	0	
1981	0	0	
1982	0	0	
1983	0	0	
1984	0	0	
1985	0	0	
1986	0	0	
1987	0	0	
1988	0	0	
1989	0	0	
1990	0	0	
1991	99	40	
1992	160	95	
1993	130	96	
1994	109	94	
1995	133	65	
1996	134	253	
1997	139	241	
1998	83	190	
1999	91	232	
2000	171	225	
2001	162	337	
2002	165	448	
2003	272	410	
2004	173	427	
2005	126	302	
2006	232	880	
2007	243	895	
2008	303	1273	
2009	426	921	
2010	308	1067	
2011	200	1530	
2012	235	1258	
2013	152	762	
2014	263	699	
2015	467	1159	
2016	304	729	
2017	202	960	
2018	195	213	
