YEAR	C0011905	C1956346	
1945	0	3	
1946	0	12	
1947	0	12	
1948	0	30	
1949	0	24	
1950	0	20	
1951	0	25	
1952	0	33	
1953	0	41	
1954	0	42	
1955	0	47	
1956	0	49	
1957	0	64	
1958	0	78	
1959	0	87	
1960	0	67	
1961	0	61	
1962	0	66	
1963	0	73	
1964	0	88	
1965	0	45	
1966	0	1	
1967	0	0	
1968	0	0	
1969	0	0	
1970	3	2	
1971	2	1	
1972	4	0	
1973	1	0	
1974	6	0	
1975	6	4	
1976	3	1	
1977	4	0	
1978	8	5	
1979	4	0	
1980	7	0	
1981	2	0	
1982	2	0	
1983	5	0	
1984	9	0	
1985	10	4	
1986	6	25	
1987	12	85	
1988	9	106	
1989	15	110	
1990	20	191	
1991	14	236	
1992	10	205	
1993	19	263	
1994	26	280	
1995	20	311	
1996	30	284	
1997	20	313	
1998	44	477	
1999	53	488	
2000	57	465	
2001	78	1392	
2002	103	2376	
2003	118	3147	
2004	144	3524	
2005	322	3934	
2006	165	4871	
2007	312	5553	
2008	395	6756	
2009	302	7532	
2010	148	7870	
2011	435	9660	
2012	605	11790	
2013	339	13699	
2014	480	15589	
2015	431	19162	
2016	208	20288	
2017	478	18618	
2018	281	6315	
