YEAR	C0011485	C0021024	
1958	2	0	
1959	1	0	
1960	6	0	
1961	7	0	
1962	5	0	
1963	5	0	
1964	2	0	
1965	1	0	
1966	0	0	
1967	0	0	
1968	0	0	
1969	0	0	
1970	0	0	
1971	0	0	
1972	0	0	
1973	9	0	
1974	18	0	
1975	99	0	
1976	38	0	
1977	77	0	
1978	81	0	
1979	61	0	
1980	37	0	
1981	62	0	
1982	83	0	
1983	107	0	
1984	91	0	
1985	97	0	
1986	109	0	
1987	109	0	
1988	76	0	
1989	109	0	
1990	54	0	
1991	66	0	
1992	78	0	
1993	133	0	
1994	84	0	
1995	75	0	
1996	89	0	
1997	150	0	
1998	89	18	
1999	142	14	
2000	57	52	
2001	102	98	
2002	102	106	
2003	118	98	
2004	111	125	
2005	98	115	
2006	190	74	
2007	167	70	
2008	155	173	
2009	135	150	
2010	196	250	
2011	112	403	
2012	187	292	
2013	322	424	
2014	329	579	
2015	413	668	
2016	219	699	
2017	171	449	
2018	60	212	
