YEAR	C0007789	C0008925	C0033477	
1945	2	1	0	
1946	28	17	1	
1947	33	21	0	
1948	27	17	0	
1949	50	17	0	
1950	33	35	0	
1951	53	43	0	
1952	54	30	1	
1953	73	34	1	
1954	68	44	0	
1955	85	40	0	
1956	66	43	1	
1957	47	39	1	
1958	84	41	0	
1959	64	37	0	
1960	73	68	1	
1961	78	35	3	
1962	70	42	3	
1963	93	42	7	
1964	86	51	5	
1965	93	66	2	
1966	113	79	0	
1967	110	76	0	
1968	91	98	0	
1969	60	90	0	
1970	85	140	0	
1971	84	123	1	
1972	97	90	21	
1973	66	89	12	
1974	73	88	44	
1975	158	201	179	
1976	194	137	268	
1977	157	172	492	
1978	192	146	272	
1979	173	198	273	
1980	171	160	261	
1981	189	177	313	
1982	181	181	249	
1983	184	194	239	
1984	226	212	184	
1985	258	234	207	
1986	222	213	182	
1987	244	173	163	
1988	259	265	84	
1989	326	271	139	
1990	416	250	91	
1991	324	267	76	
1992	364	297	107	
1993	505	307	58	
1994	406	308	106	
1995	475	210	117	
1996	505	321	78	
1997	546	291	76	
1998	715	320	68	
1999	538	364	61	
2000	731	352	62	
2001	832	367	88	
2002	895	375	48	
2003	837	429	58	
2004	1130	480	62	
2005	1262	461	84	
2006	1634	501	78	
2007	2110	514	95	
2008	2060	539	104	
2009	2326	673	112	
2010	3306	741	113	
2011	2827	856	110	
2012	2729	789	150	
2013	4235	1000	194	
2014	4652	1064	141	
2015	5068	1415	186	
2016	4989	1321	207	
2017	5342	1037	185	
2018	2637	346	91	
