YEAR	C0008778	C0015422	
1945	0	1	
1946	4	0	
1947	2	3	
1948	2	1	
1949	1	1	
1950	4	3	
1951	11	1	
1952	6	1	
1953	4	0	
1954	4	0	
1955	10	1	
1956	17	3	
1957	7	2	
1958	9	2	
1959	7	2	
1960	9	1	
1961	34	3	
1962	15	2	
1963	21	5	
1964	13	3	
1965	12	2	
1966	35	6	
1967	29	2	
1968	30	4	
1969	42	3	
1970	31	5	
1971	35	8	
1972	31	3	
1973	30	2	
1974	67	3	
1975	179	1	
1976	191	11	
1977	182	3	
1978	194	3	
1979	167	3	
1980	320	10	
1981	228	4	
1982	223	9	
1983	269	2	
1984	256	12	
1985	282	4	
1986	299	17	
1987	196	12	
1988	275	4	
1989	191	14	
1990	160	5	
1991	230	13	
1992	206	29	
1993	136	17	
1994	187	20	
1995	249	7	
1996	151	35	
1997	389	32	
1998	208	28	
1999	343	8	
2000	240	22	
2001	207	12	
2002	290	50	
2003	292	24	
2004	580	58	
2005	544	31	
2006	729	75	
2007	1417	70	
2008	2005	28	
2009	2782	31	
2010	3379	246	
2011	5156	60	
2012	4899	95	
2013	6561	96	
2014	8357	237	
2015	7222	132	
2016	8024	81	
2017	7900	110	
2018	1461	92	
