YEAR	C0002395	C0114838	
1946	1	0	
1947	2	0	
1948	2	0	
1949	4	0	
1950	3	0	
1951	8	0	
1952	3	0	
1953	8	0	
1954	13	0	
1955	9	0	
1956	6	0	
1957	5	0	
1958	10	0	
1959	6	0	
1960	9	0	
1961	3	0	
1962	6	0	
1963	15	0	
1964	15	0	
1965	10	0	
1966	0	0	
1967	0	0	
1968	0	0	
1969	0	0	
1970	0	0	
1971	3	0	
1972	0	0	
1973	0	0	
1974	5	0	
1975	75	0	
1976	72	0	
1977	64	0	
1978	83	0	
1979	125	0	
1980	197	0	
1981	277	0	
1982	425	0	
1983	632	0	
1984	809	0	
1985	1137	0	
1986	1762	0	
1987	1984	0	
1988	2420	0	
1989	3438	8	
1990	3229	9	
1991	3936	46	
1992	3911	76	
1993	4225	100	
1994	5289	165	
1995	5729	253	
1996	6813	387	
1997	7413	508	
1998	7798	501	
1999	7730	550	
2000	8621	602	
2001	8548	795	
2002	9654	734	
2003	9567	954	
2004	10768	1088	
2005	11155	997	
2006	12990	985	
2007	13217	1098	
2008	17735	999	
2009	20303	1657	
2010	23376	1720	
2011	26890	1656	
2012	33710	1958	
2013	41870	2969	
2014	48982	2208	
2015	55860	2679	
2016	65933	2337	
2017	61127	2575	
2018	17664	449	
