YEAR	C0011848	C0032246	
1945	1	0	
1946	8	1	
1947	16	0	
1948	12	0	
1949	5	0	
1950	31	0	
1951	31	0	
1952	17	4	
1953	37	1	
1954	46	2	
1955	46	4	
1956	47	12	
1957	59	9	
1958	51	4	
1959	55	7	
1960	46	6	
1961	74	3	
1962	60	7	
1963	60	6	
1964	59	16	
1965	53	5	
1966	60	0	
1967	53	0	
1968	57	0	
1969	70	0	
1970	103	0	
1971	83	0	
1972	95	0	
1973	76	0	
1974	96	0	
1975	145	29	
1976	206	86	
1977	183	48	
1978	195	31	
1979	150	54	
1980	192	53	
1981	156	78	
1982	206	117	
1983	197	118	
1984	202	215	
1985	267	193	
1986	257	247	
1987	205	327	
1988	214	419	
1989	221	647	
1990	203	919	
1991	171	953	
1992	234	1050	
1993	224	1133	
1994	210	1070	
1995	194	862	
1996	165	937	
1997	196	796	
1998	202	593	
1999	173	633	
2000	159	520	
2001	125	485	
2002	132	432	
2003	113	375	
2004	160	292	
2005	145	408	
2006	124	320	
2007	119	352	
2008	97	410	
2009	98	642	
2010	98	571	
2011	110	714	
2012	94	652	
2013	176	659	
2014	165	669	
2015	145	909	
2016	270	1217	
2017	286	775	
2018	70	427	
