YEAR	C0012238	C0012240	
1945	4	2	
1946	11	6	
1947	21	5	
1948	22	4	
1949	30	13	
1950	58	59	
1951	75	52	
1952	48	9	
1953	66	17	
1954	53	11	
1955	68	16	
1956	62	19	
1957	64	17	
1958	66	21	
1959	97	19	
1960	78	14	
1961	62	20	
1962	83	26	
1963	80	30	
1964	95	16	
1965	38	31	
1966	47	26	
1967	55	37	
1968	34	62	
1969	66	55	
1970	73	49	
1971	74	62	
1972	82	58	
1973	71	59	
1974	82	61	
1975	121	117	
1976	124	96	
1977	125	80	
1978	103	101	
1979	135	84	
1980	180	125	
1981	193	134	
1982	121	95	
1983	217	109	
1984	197	125	
1985	260	133	
1986	267	145	
1987	299	104	
1988	240	117	
1989	336	181	
1990	306	150	
1991	376	140	
1992	304	219	
1993	298	189	
1994	315	154	
1995	346	179	
1996	292	198	
1997	332	167	
1998	256	154	
1999	282	227	
2000	267	208	
2001	328	234	
2002	334	286	
2003	389	262	
2004	403	249	
2005	458	190	
2006	529	168	
2007	639	216	
2008	626	205	
2009	797	188	
2010	831	266	
2011	825	539	
2012	1143	392	
2013	1346	294	
2014	1456	332	
2015	2167	420	
2016	2058	305	
2017	2802	369	
2018	1295	235	
2019	1	0	
