YEAR	C0015625	C0016410	
1945	0	16	
1946	1	123	
1947	3	159	
1948	0	148	
1949	3	102	
1950	0	134	
1951	4	124	
1952	6	118	
1953	7	101	
1954	2	75	
1955	4	83	
1956	0	56	
1957	1	62	
1958	6	74	
1959	4	58	
1960	3	70	
1961	5	96	
1962	7	101	
1963	3	94	
1964	6	126	
1965	9	106	
1966	0	105	
1967	0	78	
1968	0	108	
1969	0	107	
1970	0	117	
1971	0	144	
1972	0	90	
1973	0	111	
1974	2	100	
1975	47	250	
1976	22	220	
1977	51	233	
1978	29	182	
1979	68	172	
1980	67	172	
1981	84	190	
1982	144	188	
1983	114	254	
1984	75	242	
1985	102	125	
1986	76	238	
1987	122	163	
1988	68	166	
1989	86	260	
1990	101	141	
1991	125	189	
1992	146	278	
1993	230	306	
1994	172	291	
1995	203	418	
1996	262	342	
1997	362	419	
1998	321	542	
1999	256	749	
2000	337	710	
2001	420	853	
2002	372	953	
2003	430	1090	
2004	460	1136	
2005	387	1295	
2006	585	1655	
2007	590	1623	
2008	550	1557	
2009	691	1971	
2010	789	1859	
2011	925	3901	
2012	984	3635	
2013	1294	4706	
2014	1445	5723	
2015	1837	6208	
2016	1533	7707	
2017	1221	7396	
2018	194	3302	
