YEAR	C0016163	C0162789	
1945	10	0	
1946	52	0	
1947	47	0	
1948	31	0	
1949	49	0	
1950	52	0	
1951	78	0	
1952	51	0	
1953	86	1	
1954	67	0	
1955	76	0	
1956	77	0	
1957	95	0	
1958	98	0	
1959	101	0	
1960	86	0	
1961	127	0	
1962	147	0	
1963	143	0	
1964	144	0	
1965	223	0	
1966	273	0	
1967	211	0	
1968	205	0	
1969	235	0	
1970	196	0	
1971	210	0	
1972	264	0	
1973	247	0	
1974	286	0	
1975	773	0	
1976	666	0	
1977	654	0	
1978	659	0	
1979	726	0	
1980	755	0	
1981	689	0	
1982	775	0	
1983	854	0	
1984	921	0	
1985	947	0	
1986	1013	0	
1987	724	0	
1988	776	0	
1989	938	0	
1990	1031	0	
1991	1168	0	
1992	1131	176	
1993	937	875	
1994	1037	1445	
1995	1088	1825	
1996	1305	2065	
1997	1441	2238	
1998	1587	2369	
1999	1622	2306	
2000	2226	2551	
2001	2711	2994	
2002	2727	2746	
2003	2730	2937	
2004	2986	3243	
2005	3800	3822	
2006	4230	3711	
2007	4714	4288	
2008	5704	4267	
2009	6373	4337	
2010	8122	5837	
2011	10667	5554	
2012	14990	6411	
2013	16590	7111	
2014	18692	7354	
2015	18668	7935	
2016	19182	7621	
2017	18983	6384	
2018	8230	2187	
2019	55	0	
