YEAR	C0036220	C0376526	
1946	6	0	
1947	4	0	
1948	2	0	
1949	9	0	
1950	2	0	
1951	4	0	
1952	2	0	
1953	7	0	
1954	5	0	
1955	4	0	
1956	6	0	
1957	9	0	
1958	6	0	
1959	11	0	
1960	11	0	
1961	4	0	
1962	25	0	
1963	14	0	
1964	14	0	
1965	15	0	
1966	11	0	
1967	13	0	
1968	15	0	
1969	17	0	
1970	19	0	
1971	18	0	
1972	18	0	
1973	23	0	
1974	26	0	
1975	58	0	
1976	48	0	
1977	68	0	
1978	68	0	
1979	59	0	
1980	81	0	
1981	127	0	
1982	170	0	
1983	288	0	
1984	415	0	
1985	452	0	
1986	416	0	
1987	477	0	
1988	489	0	
1989	559	0	
1990	713	0	
1991	751	0	
1992	595	0	
1993	637	0	
1994	785	0	
1995	1006	0	
1996	1534	167	
1997	1666	918	
1998	1741	1184	
1999	1598	1415	
2000	1533	1307	
2001	1263	1298	
2002	1370	1317	
2003	1422	1312	
2004	1288	1412	
2005	1783	1738	
2006	1413	1146	
2007	1404	1651	
2008	1200	1441	
2009	1369	2138	
2010	1621	2788	
2011	1402	3594	
2012	1397	2957	
2013	1639	3598	
2014	2123	5857	
2015	1489	3898	
2016	1964	4689	
2017	2315	5175	
2018	688	2066	
