YEAR	C0007947	C0018481	
1945	5	1	
1946	14	1	
1947	4	0	
1948	4	1	
1949	6	4	
1950	10	0	
1951	13	1	
1952	12	1	
1953	2	1	
1954	7	1	
1955	2	1	
1956	10	3	
1957	2	0	
1958	0	0	
1959	0	0	
1960	1	1	
1961	1	0	
1962	0	0	
1963	2	0	
1964	1	0	
1965	3	0	
1966	0	0	
1967	0	0	
1968	0	0	
1969	1	0	
1970	3	0	
1971	4	0	
1972	3	0	
1973	1	0	
1974	2	1	
1975	4	0	
1976	2	0	
1977	5	0	
1978	18	10	
1979	15	3	
1980	14	6	
1981	22	8	
1982	40	38	
1983	61	25	
1984	38	25	
1985	39	22	
1986	34	18	
1987	44	14	
1988	48	21	
1989	75	25	
1990	47	20	
1991	49	19	
1992	67	46	
1993	62	32	
1994	62	37	
1995	107	52	
1996	54	36	
1997	32	30	
1998	66	44	
1999	72	38	
2000	32	27	
2001	38	47	
2002	31	36	
2003	33	25	
2004	6	15	
2005	25	22	
2006	40	17	
2007	21	23	
2008	10	19	
2009	21	25	
2010	16	25	
2011	35	21	
2012	18	13	
2013	11	16	
2014	79	37	
2015	34	20	
2016	62	24	
2017	22	9	
2018	12	6	
