YEAR	C0032624	C0151636	
1946	0	1	
1947	2	0	
1948	0	0	
1949	1	0	
1950	2	1	
1951	3	6	
1952	0	7	
1953	11	1	
1954	0	5	
1955	2	5	
1956	7	3	
1957	4	7	
1958	3	2	
1959	5	9	
1960	3	5	
1961	6	4	
1962	3	13	
1963	9	5	
1964	6	12	
1965	4	5	
1966	0	0	
1967	0	0	
1968	0	0	
1969	0	0	
1970	0	0	
1971	0	0	
1972	0	0	
1973	0	0	
1974	6	0	
1975	106	0	
1976	114	0	
1977	57	0	
1978	65	0	
1979	66	0	
1980	112	0	
1981	119	0	
1982	83	0	
1983	128	0	
1984	138	0	
1985	108	0	
1986	110	0	
1987	87	0	
1988	69	2	
1989	134	1	
1990	189	0	
1991	151	0	
1992	85	4	
1993	134	2	
1994	96	2	
1995	118	64	
1996	126	130	
1997	109	80	
1998	151	110	
1999	179	134	
2000	87	123	
2001	186	119	
2002	227	91	
2003	220	136	
2004	209	184	
2005	219	213	
2006	261	160	
2007	236	222	
2008	327	290	
2009	223	259	
2010	236	339	
2011	308	430	
2012	703	708	
2013	486	622	
2014	553	617	
2015	480	935	
2016	454	826	
2017	633	1334	
2018	417	492	
2019	5	0	
