YEAR	C0002893	C0003873	C0034625	
1945	0	9	9	
1946	2	54	45	
1947	2	68	56	
1948	1	71	62	
1949	2	76	48	
1950	0	204	98	
1951	7	227	107	
1952	2	210	99	
1953	0	181	92	
1954	2	169	103	
1955	2	166	85	
1956	4	195	78	
1957	3	198	60	
1958	2	210	61	
1959	3	172	60	
1960	7	137	78	
1961	6	200	62	
1962	5	199	57	
1963	5	221	63	
1964	10	275	73	
1965	4	266	75	
1966	0	243	69	
1967	0	270	56	
1968	0	338	61	
1969	0	384	53	
1970	0	401	43	
1971	0	391	36	
1972	0	398	28	
1973	0	463	23	
1974	0	489	30	
1975	0	1239	68	
1976	0	1158	64	
1977	0	1118	57	
1978	0	1153	51	
1979	0	1261	42	
1980	0	1205	58	
1981	0	1609	17	
1982	0	1687	38	
1983	0	2224	105	
1984	3	2179	50	
1985	7	2197	80	
1986	40	2551	50	
1987	45	2451	32	
1988	62	2904	40	
1989	39	3038	32	
1990	24	3359	66	
1991	60	3226	27	
1992	43	3984	12	
1993	58	4029	30	
1994	81	4122	32	
1995	42	4376	19	
1996	40	4477	44	
1997	37	4269	22	
1998	65	4339	62	
1999	48	5415	43	
2000	66	6178	40	
2001	51	6498	103	
2002	86	7679	55	
2003	54	7542	28	
2004	55	8659	53	
2005	49	12998	75	
2006	40	12522	75	
2007	17	12782	77	
2008	63	13628	70	
2009	43	17752	106	
2010	34	19405	95	
2011	39	20535	89	
2012	45	24623	168	
2013	36	27017	317	
2014	9	31648	380	
2015	21	36688	405	
2016	42	39742	635	
2017	13	38062	1106	
2018	14	11280	433	
