YEAR	C0013220	C0020963	
1945	2	1	
1946	20	9	
1947	24	15	
1948	31	15	
1949	18	23	
1950	25	18	
1951	27	27	
1952	37	32	
1953	25	19	
1954	31	24	
1955	34	34	
1956	36	41	
1957	41	45	
1958	42	58	
1959	40	61	
1960	69	98	
1961	49	104	
1962	57	81	
1963	77	122	
1964	64	125	
1965	54	107	
1966	32	85	
1967	45	91	
1968	61	81	
1969	72	133	
1970	82	138	
1971	74	125	
1972	104	157	
1973	124	138	
1974	114	140	
1975	317	325	
1976	382	295	
1977	419	297	
1978	451	178	
1979	470	257	
1980	535	296	
1981	586	278	
1982	566	230	
1983	777	298	
1984	796	278	
1985	948	315	
1986	746	327	
1987	826	394	
1988	881	370	
1989	939	502	
1990	934	512	
1991	1017	504	
1992	974	608	
1993	903	670	
1994	1048	687	
1995	942	715	
1996	995	941	
1997	787	1017	
1998	780	1189	
1999	767	1086	
2000	977	1200	
2001	894	1047	
2002	725	1182	
2003	822	1277	
2004	872	1389	
2005	871	1396	
2006	939	1781	
2007	988	1582	
2008	1338	2077	
2009	927	1897	
2010	1231	1933	
2011	1199	2098	
2012	1195	2752	
2013	1296	2527	
2014	1451	2592	
2015	1547	3229	
2016	2272	2989	
2017	1534	2415	
2018	615	681	
