YEAR	C0023308	C0023317	C0023318	
1945	0	8	6	
1946	0	18	16	
1947	0	13	19	
1948	0	29	18	
1949	0	28	10	
1950	0	43	19	
1951	0	44	41	
1952	3	61	16	
1953	6	75	30	
1954	2	67	29	
1955	3	59	21	
1956	4	67	30	
1957	6	92	26	
1958	7	87	39	
1959	1	102	32	
1960	0	67	20	
1961	0	128	45	
1962	0	133	68	
1963	2	111	18	
1964	2	136	21	
1965	0	167	18	
1966	0	139	13	
1967	0	140	21	
1968	0	168	11	
1969	0	235	16	
1970	0	153	21	
1971	0	163	28	
1972	0	143	32	
1973	0	200	8	
1974	0	155	16	
1975	0	452	90	
1976	0	521	105	
1977	3	609	353	
1978	20	507	140	
1979	15	433	39	
1980	10	475	20	
1981	6	493	16	
1982	24	878	26	
1983	16	882	20	
1984	16	950	26	
1985	12	1170	38	
1986	18	958	42	
1987	31	1152	44	
1988	38	972	73	
1989	39	1472	20	
1990	40	1235	64	
1991	15	1313	16	
1992	57	1325	23	
1993	36	1323	19	
1994	20	1254	28	
1995	26	1414	63	
1996	10	1386	38	
1997	32	1609	64	
1998	15	1517	40	
1999	45	1485	55	
2000	58	1471	47	
2001	38	1837	56	
2002	39	1441	51	
2003	45	1862	39	
2004	26	2052	95	
2005	50	1733	39	
2006	28	2070	86	
2007	59	3164	149	
2008	44	4350	282	
2009	27	3497	307	
2010	62	4597	414	
2011	50	4598	881	
2012	95	4757	502	
2013	44	3867	556	
2014	50	5180	674	
2015	55	3777	339	
2016	36	4627	667	
2017	62	4995	355	
2018	64	1330	130	
