YEAR	C0001942	C0003779	
1948	1	0	
1950	2	0	
1951	2	0	
1952	2	0	
1953	3	0	
1954	5	1	
1955	4	1	
1956	3	1	
1957	10	3	
1958	13	10	
1959	5	5	
1960	12	7	
1961	19	7	
1962	22	7	
1963	19	7	
1964	21	3	
1965	14	7	
1968	0	1	
1975	0	49	
1976	7	82	
1977	5	89	
1978	9	118	
1979	0	79	
1980	5	122	
1981	112	176	
1982	199	209	
1983	431	296	
1984	426	389	
1985	405	409	
1986	460	552	
1987	693	386	
1988	501	459	
1989	553	428	
1990	600	459	
1991	658	414	
1992	707	502	
1993	657	463	
1994	781	407	
1995	520	393	
1996	592	278	
1997	515	256	
1998	449	326	
1999	467	240	
2000	393	192	
2001	425	201	
2002	419	225	
2003	470	202	
2004	370	167	
2005	493	170	
2006	414	227	
2007	557	190	
2008	512	233	
2009	501	202	
2010	814	220	
2011	642	218	
2012	719	165	
2013	639	180	
2014	920	159	
2015	880	165	
2016	1129	150	
2017	572	140	
2018	298	25	
