YEAR	C0023434	C2004493	
1946	2	0	
1947	5	0	
1948	2	0	
1949	5	0	
1950	4	0	
1951	5	0	
1952	4	0	
1953	8	0	
1954	6	0	
1955	9	0	
1956	13	0	
1957	11	0	
1958	9	0	
1959	8	0	
1960	19	0	
1961	16	0	
1962	25	0	
1963	13	0	
1964	25	0	
1965	7	0	
1966	6	0	
1976	1	0	
1978	1	0	
1980	4	0	
1984	2	0	
1985	3	0	
1986	15	0	
1987	60	0	
1988	477	5	
1989	818	8	
1990	779	6	
1991	690	4	
1992	897	9	
1993	1130	13	
1994	1096	10	
1995	940	11	
1996	1051	9	
1997	1250	12	
1998	1123	9	
1999	1271	6	
2000	1279	9	
2001	1663	6	
2002	1811	5	
2003	1651	10	
2004	1957	7	
2005	2145	5	
2006	2106	3	
2007	2430	5	
2008	2217	7	
2009	3173	3	
2010	4306	7	
2011	3969	31	
2012	4676	12	
2013	7336	27	
2014	7122	12	
2015	11705	8	
2016	11402	19	
2017	9203	9	
2018	1771	1	
