YEAR	C0006298	C0008139	
1945	0	3	
1946	0	9	
1947	0	10	
1948	0	7	
1949	2	6	
1950	2	5	
1951	3	28	
1952	1	17	
1953	4	11	
1954	5	25	
1955	0	19	
1956	5	20	
1957	3	24	
1958	10	19	
1959	14	29	
1960	5	23	
1961	4	19	
1962	10	27	
1963	9	36	
1964	27	45	
1965	4	62	
1966	0	70	
1967	6	54	
1968	28	63	
1969	79	86	
1970	82	82	
1971	67	77	
1972	50	66	
1973	27	67	
1974	46	79	
1975	155	148	
1976	166	140	
1977	89	144	
1978	127	138	
1979	60	141	
1980	141	142	
1981	197	131	
1982	317	181	
1983	490	140	
1984	534	186	
1985	533	123	
1986	613	185	
1987	545	236	
1988	520	244	
1989	533	234	
1990	553	193	
1991	422	200	
1992	489	291	
1993	361	289	
1994	479	330	
1995	394	191	
1996	429	278	
1997	465	321	
1998	489	354	
1999	452	478	
2000	313	454	
2001	346	448	
2002	387	642	
2003	334	975	
2004	338	523	
2005	306	1059	
2006	394	1523	
2007	373	1747	
2008	529	2147	
2009	904	2378	
2010	949	3954	
2011	1534	5346	
2012	2471	7117	
2013	3745	9576	
2014	3924	10005	
2015	5682	9595	
2016	4658	10387	
2017	5395	9801	
2018	872	4103	
