YEAR	C0006137	C0006222	
1945	2	1	
1946	9	16	
1947	19	21	
1948	17	22	
1949	22	20	
1950	44	35	
1951	56	36	
1952	71	35	
1953	46	47	
1954	45	30	
1955	42	37	
1956	37	34	
1957	34	45	
1958	36	34	
1959	39	37	
1960	31	31	
1961	34	38	
1962	35	47	
1963	60	40	
1964	53	41	
1965	39	42	
1966	40	34	
1967	31	57	
1968	38	48	
1969	63	53	
1970	49	57	
1971	45	52	
1972	56	79	
1973	55	54	
1974	66	61	
1975	101	75	
1976	96	81	
1977	83	67	
1978	118	51	
1979	90	82	
1980	106	33	
1981	158	19	
1982	112	57	
1983	126	87	
1984	157	51	
1985	199	63	
1986	212	104	
1987	201	77	
1988	172	77	
1989	316	99	
1990	345	99	
1991	377	105	
1992	425	90	
1993	437	65	
1994	442	97	
1995	498	64	
1996	583	121	
1997	638	97	
1998	820	91	
1999	911	86	
2000	1193	87	
2001	1405	159	
2002	1766	180	
2003	1831	168	
2004	2047	195	
2005	2350	202	
2006	2981	268	
2007	3904	216	
2008	4366	245	
2009	5128	284	
2010	5381	249	
2011	6787	280	
2012	9003	388	
2013	11567	359	
2014	15066	307	
2015	15470	529	
2016	16978	374	
2017	15941	426	
2018	8254	159	
2019	11	0	
