YEAR	C0007022	C0209338	
1945	2	0	
1946	22	0	
1947	25	0	
1948	15	0	
1949	10	0	
1950	25	0	
1951	33	0	
1952	32	0	
1953	33	0	
1954	25	0	
1955	44	0	
1956	35	0	
1957	39	0	
1958	41	0	
1959	55	0	
1960	57	0	
1961	53	0	
1962	52	0	
1963	49	0	
1964	58	0	
1965	41	0	
1966	22	0	
1967	30	0	
1968	31	0	
1969	49	0	
1970	36	0	
1971	66	0	
1972	37	0	
1973	62	0	
1974	48	0	
1975	139	0	
1976	94	0	
1977	63	0	
1978	91	0	
1979	91	0	
1980	166	0	
1981	214	0	
1982	248	0	
1983	388	0	
1984	343	0	
1985	306	0	
1986	405	0	
1987	334	0	
1988	408	0	
1989	392	0	
1990	459	0	
1991	527	1	
1992	419	0	
1993	489	0	
1994	472	4	
1995	447	7	
1996	424	35	
1997	413	47	
1998	400	140	
1999	383	106	
2000	386	142	
2001	445	127	
2002	347	148	
2003	319	127	
2004	450	115	
2005	521	111	
2006	486	92	
2007	443	130	
2008	494	96	
2009	466	115	
2010	449	90	
2011	479	35	
2012	545	53	
2013	729	80	
2014	1027	161	
2015	870	613	
2016	1177	185	
2017	667	351	
2018	271	38	
