YEAR	C0010980	C0085104	C0950121	
1946	3	0	0	
1947	2	0	0	
1948	2	1	0	
1949	1	0	0	
1950	5	0	0	
1951	18	0	0	
1952	8	0	0	
1953	8	0	0	
1954	8	0	0	
1955	10	0	0	
1956	9	0	0	
1957	13	0	0	
1958	5	0	0	
1959	3	0	0	
1960	7	0	0	
1961	4	0	0	
1962	6	0	0	
1963	8	0	0	
1964	5	0	0	
1965	7	0	0	
1966	26	0	0	
1967	17	0	0	
1968	18	0	0	
1969	28	0	0	
1970	20	0	0	
1971	26	0	0	
1972	21	0	0	
1973	25	0	0	
1974	41	0	0	
1975	122	0	0	
1976	110	0	0	
1977	121	0	0	
1978	89	0	0	
1979	118	0	0	
1980	151	0	0	
1981	161	0	0	
1982	133	0	0	
1983	236	0	0	
1984	227	0	0	
1985	183	0	0	
1986	279	0	0	
1987	129	0	0	
1988	218	0	0	
1989	240	0	0	
1990	200	13	0	
1991	179	41	0	
1992	193	107	0	
1993	253	83	0	
1994	308	171	0	
1995	269	210	0	
1996	224	194	0	
1997	297	252	0	
1998	146	320	0	
1999	209	341	0	
2000	153	465	0	
2001	210	588	4	
2002	164	712	9	
2003	170	688	21	
2004	179	947	20	
2005	199	1166	48	
2006	140	1326	13	
2007	128	1502	36	
2008	234	1819	17	
2009	199	2210	6	
2010	170	2714	21	
2011	238	3228	24	
2012	288	3983	17	
2013	558	4406	16	
2014	265	4972	19	
2015	298	6652	0	
2016	413	6971	28	
2017	456	7098	27	
2018	77	3659	0	
