YEAR	C0011198	C0017480	
1945	1	7	
1946	2	20	
1947	5	30	
1948	3	31	
1949	6	17	
1950	6	30	
1951	5	42	
1952	4	51	
1953	7	36	
1954	6	27	
1955	5	34	
1956	5	32	
1957	5	21	
1958	5	26	
1959	10	42	
1960	1	25	
1961	3	25	
1962	4	33	
1963	7	46	
1964	3	61	
1965	6	36	
1966	3	16	
1967	6	8	
1968	6	5	
1969	10	8	
1970	15	9	
1971	8	8	
1972	5	12	
1973	7	10	
1974	9	2	
1975	6	9	
1976	4	18	
1977	3	12	
1978	9	12	
1979	8	8	
1980	7	20	
1981	7	24	
1982	4	21	
1983	5	15	
1984	4	24	
1985	6	25	
1986	8	37	
1987	16	25	
1988	17	24	
1989	18	38	
1990	11	85	
1991	13	309	
1992	29	363	
1993	13	451	
1994	25	575	
1995	17	565	
1996	18	695	
1997	38	816	
1998	25	980	
1999	21	1018	
2000	34	1099	
2001	24	1205	
2002	43	1389	
2003	56	1373	
2004	46	1673	
2005	50	2117	
2006	47	2300	
2007	55	2580	
2008	74	2891	
2009	44	3787	
2010	121	3732	
2011	40	4333	
2012	80	5366	
2013	134	6050	
2014	113	7140	
2015	81	7327	
2016	84	7778	
2017	36	8332	
2018	22	3347	
2019	0	1	
