YEAR	C0032580	C0162832	
1947	2	0	
1948	4	0	
1949	1	0	
1950	4	0	
1951	5	0	
1952	8	0	
1953	5	0	
1954	5	0	
1955	2	0	
1956	7	0	
1957	4	0	
1958	5	0	
1959	7	0	
1960	5	0	
1961	6	0	
1962	5	0	
1963	6	0	
1964	5	0	
1979	1	0	
1981	2	0	
1986	37	0	
1987	196	0	
1988	181	0	
1989	219	0	
1990	240	0	
1991	310	4	
1992	509	30	
1993	578	178	
1994	618	309	
1995	610	341	
1996	683	323	
1997	825	861	
1998	703	466	
1999	771	456	
2000	727	481	
2001	728	503	
2002	759	529	
2003	564	547	
2004	783	702	
2005	887	627	
2006	727	609	
2007	1059	635	
2008	1307	1138	
2009	1791	894	
2010	1651	1324	
2011	1444	1595	
2012	838	549	
2013	1274	1395	
2014	1363	992	
2015	1432	1135	
2016	2583	1018	
2017	1688	671	
2018	702	204	
