YEAR	C0021760	C0062534	
1965	0	1	
1980	0	1	
1982	0	3	
1983	2	0	
1984	2	4	
1985	30	8	
1986	37	1	
1987	146	6	
1988	634	2	
1989	1882	43	
1990	2781	64	
1991	3952	377	
1992	5104	629	
1993	4816	933	
1994	6170	1077	
1995	5528	1071	
1996	6095	1425	
1997	6346	1812	
1998	7191	2266	
1999	6345	1720	
2000	7048	2290	
2001	6868	1872	
2002	7026	1986	
2003	6985	2000	
2004	7446	2232	
2005	7584	2512	
2006	8301	2304	
2007	8271	1995	
2008	10959	2521	
2009	14971	1899	
2010	14528	3284	
2011	18072	3492	
2012	22682	5213	
2013	29360	5268	
2014	29363	5982	
2015	30812	6262	
2016	32968	4563	
2017	30134	4308	
2018	9361	1458	
2019	23	0	
