YEAR	C0013570	C0079941	
1946	1	0	
1947	2	0	
1948	3	0	
1949	3	0	
1950	1	0	
1951	4	0	
1952	1	0	
1953	2	0	
1954	1	0	
1955	2	0	
1956	4	0	
1957	7	0	
1958	2	0	
1959	1	0	
1960	2	0	
1963	2	0	
1964	1	0	
1968	1	0	
1969	4	0	
1970	6	0	
1971	5	0	
1972	6	0	
1973	5	0	
1974	8	0	
1975	10	0	
1976	6	0	
1977	12	0	
1978	13	0	
1979	3	0	
1980	14	0	
1981	14	0	
1982	13	2	
1983	31	2	
1984	20	0	
1985	25	1	
1986	15	1	
1987	9	0	
1988	14	3	
1989	17	19	
1990	22	355	
1991	35	1540	
1992	9	1269	
1993	25	1746	
1994	20	1997	
1995	25	1932	
1996	34	1730	
1997	16	1803	
1998	14	1636	
1999	21	1554	
2000	49	1821	
2001	20	1569	
2002	33	1425	
2003	16	1913	
2004	15	2039	
2005	79	2942	
2006	39	2982	
2007	59	3479	
2008	35	4170	
2009	69	3874	
2010	62	4254	
2011	69	5133	
2012	169	5107	
2013	187	6067	
2014	42	5107	
2015	146	5175	
2016	146	5308	
2017	138	5177	
2018	66	1525	
2019	0	5	
