YEAR	C0037473	C0037570	
1945	26	2	
1946	123	29	
1947	197	48	
1948	208	70	
1949	168	61	
1950	284	110	
1951	391	125	
1952	297	127	
1953	365	146	
1954	340	153	
1955	371	165	
1956	407	151	
1957	428	165	
1958	447	181	
1959	429	167	
1960	379	172	
1961	500	190	
1962	490	174	
1963	556	178	
1964	703	111	
1965	581	58	
1966	767	0	
1967	988	2	
1968	1282	0	
1969	1373	0	
1970	1223	0	
1971	1462	0	
1972	1661	0	
1973	1532	0	
1974	1566	0	
1975	3996	0	
1976	3908	0	
1977	3424	0	
1978	3165	5	
1979	2972	0	
1980	3532	0	
1981	3929	0	
1982	4224	0	
1983	4277	0	
1984	5193	0	
1985	5558	25	
1986	5996	27	
1987	5223	398	
1988	4793	711	
1989	4838	597	
1990	6006	724	
1991	5088	685	
1992	4568	602	
1993	4106	485	
1994	3944	495	
1995	3642	396	
1996	3527	528	
1997	5188	700	
1998	3611	600	
1999	4522	430	
2000	4772	444	
2001	4797	385	
2002	5650	396	
2003	3234	363	
2004	4047	373	
2005	4339	447	
2006	4674	469	
2007	5031	405	
2008	5247	445	
2009	5243	611	
2010	5855	545	
2011	8030	1123	
2012	8319	1038	
2013	10734	2008	
2014	11748	3224	
2015	11478	2721	
2016	15863	2817	
2017	13070	4534	
2018	4851	1177	
2019	2	0	
