YEAR	C0038280	C0038288	
1945	7	6	
1946	20	12	
1947	27	12	
1948	26	10	
1949	35	16	
1950	72	31	
1951	95	60	
1952	84	38	
1953	85	40	
1954	68	35	
1955	70	33	
1956	47	19	
1957	74	28	
1958	54	28	
1959	56	29	
1960	53	28	
1961	99	40	
1962	85	37	
1963	69	34	
1964	135	77	
1965	75	28	
1966	60	23	
1967	89	24	
1968	80	50	
1969	100	28	
1970	84	61	
1971	78	74	
1972	78	76	
1973	85	45	
1974	105	40	
1975	133	89	
1976	154	98	
1977	111	93	
1978	115	97	
1979	91	113	
1980	126	111	
1981	83	71	
1982	126	80	
1983	154	30	
1984	161	68	
1985	130	53	
1986	113	32	
1987	163	46	
1988	181	40	
1989	235	41	
1990	204	41	
1991	224	45	
1992	235	85	
1993	271	52	
1994	217	47	
1995	267	49	
1996	237	41	
1997	219	23	
1998	256	40	
1999	302	26	
2000	223	66	
2001	233	43	
2002	287	53	
2003	225	56	
2004	225	68	
2005	225	97	
2006	353	111	
2007	320	116	
2008	310	71	
2009	344	334	
2010	302	64	
2011	418	167	
2012	501	231	
2013	681	118	
2014	427	307	
2015	676	378	
2016	550	340	
2017	478	234	
2018	222	42	
