YEAR	C0040975	C0678118	
1950	1	0	
1951	18	0	
1952	20	0	
1953	30	0	
1954	38	0	
1955	29	0	
1956	13	0	
1957	18	0	
1958	13	0	
1959	19	0	
1960	10	0	
1961	11	0	
1962	7	0	
1963	12	0	
1964	5	0	
1965	8	1	
1966	3	0	
1967	12	0	
1968	7	0	
1969	4	0	
1970	1	0	
1971	3	0	
1972	4	0	
1973	1	0	
1974	10	0	
1975	30	0	
1976	14	0	
1977	28	0	
1978	42	0	
1979	36	0	
1980	26	3	
1981	10	0	
1982	18	0	
1983	12	1	
1984	8	0	
1985	4	0	
1986	1	0	
1987	16	0	
1988	23	0	
1989	15	0	
1990	17	2	
1991	1	0	
1992	13	0	
1993	10	0	
1994	4	0	
1995	33	0	
1996	3	3	
1997	0	1	
2002	0	8	
2003	0	9	
2004	5	513	
2005	0	881	
2006	0	1028	
2007	0	1284	
2008	0	1757	
2009	0	1978	
2010	0	2405	
2011	0	2883	
2012	0	3588	
2013	0	3531	
2014	2	3884	
2015	1	4504	
2016	0	4593	
2017	0	4076	
2018	0	1688	
2019	0	3	
