YEAR	C0039493	C0039496	
1946	7	2	
1947	5	1	
1948	11	2	
1949	6	1	
1950	18	2	
1951	23	4	
1952	26	8	
1953	21	2	
1954	39	3	
1955	20	4	
1956	17	1	
1957	31	4	
1958	14	2	
1959	8	3	
1960	14	1	
1961	12	2	
1962	19	5	
1963	18	3	
1964	23	8	
1965	51	6	
1966	55	13	
1967	56	10	
1968	56	9	
1969	62	20	
1970	61	19	
1971	71	24	
1972	64	19	
1973	79	21	
1974	74	19	
1975	120	44	
1976	135	65	
1977	143	91	
1978	107	78	
1979	180	76	
1980	182	78	
1981	127	76	
1982	139	62	
1983	168	141	
1984	237	145	
1985	232	150	
1986	225	137	
1987	313	117	
1988	320	126	
1989	403	209	
1990	382	212	
1991	338	135	
1992	321	90	
1993	325	46	
1994	317	51	
1995	417	133	
1996	408	94	
1997	336	102	
1998	395	98	
1999	538	155	
2000	444	139	
2001	459	114	
2002	438	151	
2003	483	125	
2004	371	123	
2005	498	90	
2006	499	104	
2007	649	126	
2008	611	180	
2009	788	157	
2010	632	296	
2011	738	110	
2012	764	199	
2013	777	238	
2014	1421	188	
2015	1374	330	
2016	1865	242	
2017	1365	187	
2018	1012	34	
