YEAR	C0043041	C0258432	
1945	1	0	
1946	1	0	
1947	4	0	
1948	7	0	
1950	2	0	
1951	3	0	
1952	1	0	
1953	5	0	
1954	3	0	
1955	1	0	
1956	2	0	
1957	7	0	
1958	5	0	
1959	2	0	
1960	1	0	
1961	3	0	
1962	9	0	
1963	7	0	
1964	9	0	
1965	4	0	
1975	17	0	
1976	19	0	
1977	30	0	
1978	12	0	
1979	18	0	
1980	11	0	
1981	15	0	
1982	13	0	
1983	30	0	
1984	6	0	
1985	17	0	
1986	25	0	
1987	35	0	
1988	18	0	
1989	20	0	
1990	41	0	
1991	33	0	
1992	17	0	
1993	65	0	
1994	65	2	
1995	44	30	
1996	51	69	
1997	66	108	
1998	71	194	
1999	82	325	
2000	125	449	
2001	170	377	
2002	250	302	
2003	273	269	
2004	292	719	
2005	322	296	
2006	481	379	
2007	590	631	
2008	686	488	
2009	1111	516	
2010	1450	728	
2011	1283	555	
2012	2248	746	
2013	2370	1365	
2014	2316	762	
2015	2792	1354	
2016	3033	941	
2017	2221	1127	
2018	751	45	
