YEAR	C0056208	C1321571	
1947	0	1	
1948	0	3	
1950	0	1	
1951	0	3	
1953	0	1	
1955	1	2	
1957	0	1	
1958	0	2	
1960	0	1	
1961	0	1	
1962	1	0	
1963	1	1	
1964	3	0	
1965	0	1	
1973	0	1	
1975	0	4	
1976	0	5	
1977	0	12	
1978	0	4	
1979	0	9	
1980	0	11	
1981	0	6	
1982	6	15	
1983	0	9	
1984	1	12	
1985	8	9	
1986	12	9	
1987	11	23	
1988	8	15	
1989	12	36	
1990	19	59	
1991	18	75	
1992	22	46	
1993	47	40	
1994	52	56	
1995	85	40	
1996	79	48	
1997	75	53	
1998	52	75	
1999	50	47	
2000	22	76	
2001	101	49	
2002	157	43	
2003	51	47	
2004	61	47	
2005	103	47	
2006	87	70	
2007	117	47	
2008	144	55	
2009	59	72	
2010	51	36	
2011	38	105	
2012	64	68	
2013	45	143	
2014	19	87	
2015	103	96	
2016	32	104	
2017	72	68	
2018	3	13	
