YEAR	C0012931	C0012933	
1974	0	1	
1976	12	0	
1977	85	0	
1978	84	0	
1979	128	0	
1980	94	0	
1981	154	29	
1982	151	118	
1983	208	177	
1984	212	216	
1985	202	211	
1986	197	234	
1987	172	199	
1988	174	246	
1989	117	309	
1990	153	267	
1991	88	262	
1992	80	433	
1993	119	425	
1994	79	541	
1995	84	505	
1996	67	638	
1997	53	786	
1998	42	867	
1999	45	974	
2000	46	1497	
2001	68	1105	
2002	53	1257	
2003	49	1357	
2004	37	1199	
2005	70	1655	
2006	60	1768	
2007	90	1473	
2008	58	2676	
2009	93	2004	
2010	36	2023	
2011	224	4122	
2012	93	3287	
2013	120	4107	
2014	49	4945	
2015	49	3272	
2016	43	4617	
2017	34	4087	
2018	16	1469	
2019	0	3	
