WSD_INFORMATION	NUM_SENSES	SENSE	FIRST_YEAR_OCCURENCE	VALUE_FIRST_YEAR_OCCURENCE	MaxSenseGivenYear	MaxSenseGivenYearValue
PCP	2	C0030855	1951	2	1951	1.000000	
PCP	2	C0031381	1959	1	1961	1.000000	
CCl4	2	C0007022	1945	2	1945	1.000000	
CCl4	2	C0209338	1991	1	2015	0.413351	
Cold	3	C0009264	1945	9	1978	0.981358	
Cold	3	C0009443	1945	2	1947	0.423729	
Cold	3	C0024117	1959	1	2019	1.000000	
PCB	2	C0032447	1971	34	2019	1.000000	
PCB	2	C0033223	1970	3	1970	1.000000	
Yellow Fever	2	C0043395	1945	4	1948	1.000000	
Yellow Fever	2	C0301508	1945	1	2005	0.550505	
CCD	2	C0008928	1946	5	1946	1.000000	
CCD	2	C0751951	1961	1	2003	0.720930	
BSA	2	C0005902	1952	4	1952	0.400000	
BSA	2	C0036774	1947	6	1947	1.000000	
GAG	2	C0017346	1982	2	2007	0.373802	
GAG	2	C0017973	1947	5	1947	1.000000	
Pharmaceutical	2	C0013058	1963	1	2005	0.868132	
Pharmaceutical	2	C0031336	1945	11	1945	1.000000	
ERUPTION	2	C0015230	1944	1	1959	0.902439	
ERUPTION	2	C1533692	1944	1	1985	0.901786	
CAM	2	C0007578	1981	8	1981	1.000000	
CAM	2	C0178551	1945	1	1945	1.000000	
Exercises	2	C0015259	1945	7	2019	1.000000	
Exercises	2	C0452240	1945	4	1971	1.000000	
Language	2	C0023008	1945	1	1945	1.000000	
Language	2	C0033348	1958	1	2001	0.158235	
EMS	2	C0013961	1945	2	1945	1.000000	
EMS	2	C0015063	1959	1	1980	0.512048	
TNC	2	C0076088	1985	6	2018	0.950178	
TNC	2	C0077400	1980	39	1980	1.000000	
SCD	2	C0002895	1945	1	1945	1.000000	
SCD	2	C0085298	1950	1	2012	0.383784	
Synapsis	2	C0039062	1945	5	1946	1.000000	
Synapsis	2	C0598501	1945	2	1949	0.333333	
EM	2	C0014921	1975	16	2005	0.103394	
EM	2	C0026019	1945	1	1945	1.000000	
Sodium	2	C0037473	1945	26	1966	1.000000	
Sodium	2	C0037570	1945	2	1960	0.312160	
TNT	2	C0041070	1945	2	1945	1.000000	
TNT	2	C0077404	1981	9	1981	1.000000	
BR	2	C0006137	1945	2	2019	1.000000	
BR	2	C0006222	1945	1	1967	0.647727	
Plague	2	C0032064	1944	1	1944	1.000000	
Plague	2	C0032066	1946	3	1970	0.263158	
Cilia	2	C0008778	1946	4	1946	1.000000	
Cilia	2	C0015422	1945	1	1945	1.000000	
DI	2	C0011848	1945	1	1945	1.000000	
DI	2	C0032246	1946	1	2012	0.873995	
Radiation	2	C0851346	1944	2	1944	1.000000	
Radiation	2	C1522449	1946	20	1998	0.979727	
CP	3	C0007789	1945	2	2018	0.857840	
CP	3	C0008925	1945	1	1970	0.622222	
CP	3	C0033477	1946	1	1977	0.599269	
CIS	2	C0007099	1946	1	1946	1.000000	
CIS	2	C0162854	1992	6	2012	0.114370	
PHA	2	C0030779	1950	1	1950	1.000000	
PHA	2	C0031858	1949	1	1949	1.000000	
IP	2	C0021069	1958	1	1980	1.000000	
IP	2	C0021171	1947	1	1947	1.000000	
Familial Adenomatous Polyposis	2	C0032580	1947	2	1947	1.000000	
Familial Adenomatous Polyposis	2	C0162832	1991	4	2011	0.524844	
Leishmaniasis	2	C0023281	1945	8	1945	1.000000	
Leishmaniasis	2	C1548483	1947	1	2011	0.214397	
CDR	2	C0011485	1958	2	1958	1.000000	
CDR	2	C0021024	1998	18	2011	0.782524	
Platelet	2	C0005821	1945	2	1966	1.000000	
Platelet	2	C0032181	1945	3	1945	0.600000	
Crack	2	C0040441	1948	1	1948	1.000000	
Crack	2	C0085163	1990	1	1997	0.970760	
RA	3	C0002893	1946	2	1960	0.031532	
RA	3	C0003873	1945	9	2011	0.993805	
RA	3	C0034625	1945	9	1945	0.500000	
Nurse	2	C0006147	1945	18	1960	0.780220	
Nurse	2	C0028661	1945	17	1966	0.844720	
Lactation	2	C0006147	1945	15	2015	0.785039	
Lactation	2	C0022925	1945	6	2019	1.000000	
IA	2	C0021487	1945	1	1945	1.000000	
IA	2	C0022037	1946	12	1946	0.923077	
Haemophilus ducreyi	2	C0007947	1945	5	1947	1.000000	
Haemophilus ducreyi	2	C0018481	1945	1	2004	0.714286	
rDNA	2	C0012931	1976	12	1976	1.000000	
rDNA	2	C0012933	1974	1	1974	1.000000	
Strep	2	C0038395	1945	2	2019	1.000000	
Strep	2	C0038402	1945	17	1973	0.931889	
CDA	2	C0002876	1979	11	1979	1.000000	
CDA	2	C0092801	1983	10	2018	0.979452	
HIV	2	C0019682	1985	21	1985	1.000000	
HIV	2	C0019693	1987	4	2018	0.955351	
OH	2	C0028905	1945	1	1945	1.000000	
OH	2	C0063146	1946	2	2019	1.000000	
lymphogranulomatosis	2	C0019829	1945	8	1973	0.734435	
lymphogranulomatosis	2	C0036202	1945	16	1946	0.710526	
TEM	2	C0040975	1950	1	1950	1.000000	
TEM	2	C0678118	1965	1	1997	1.000000	
OCD	2	C0028768	1949	1	1966	1.000000	
OCD	2	C0029421	1946	3	1946	1.000000	
PCA	5	C0030131	1974	1	1986	0.628743	
PCA	5	C0030625	1951	3	1951	1.000000	
PCA	5	C0078944	1989	12	1998	0.838912	
PCA	5	C0149576	1945	1	1945	1.000000	
PCA	5	C0429865	1960	1	2019	1.000000	
Schistosoma mansoni	2	C0036319	1945	2	1968	1.000000	
Schistosoma mansoni	2	C0036330	1945	1	1967	0.750000	
HPS	2	C0079504	2000	24	2018	0.784314	
HPS	2	C0242994	1994	9	1994	1.000000	
Staph	2	C0038160	1945	2	1956	0.474820	
Staph	2	C0038170	1945	13	1974	0.927063	
LABOR	2	C0022864	1945	4	1980	0.756667	
LABOR	2	C0043227	1945	44	1945	0.916667	
CH	2	C0008115	1945	3	1945	1.000000	
CH	2	C0039021	1946	3	1969	0.937500	
Epi	2	C0014563	1945	20	1945	1.000000	
Epi	2	C0014582	1980	11	2015	0.373737	
Borrelia	2	C0006033	1946	1	1946	1.000000	
Borrelia	2	C0024198	1983	3	1991	0.949466	
Tax	2	C0039371	1950	5	1950	1.000000	
Tax	2	C0144576	1983	8	2019	1.000000	
Follicle	2	C0018120	1945	1	1946	1.000000	
Follicle	2	C0221971	1945	1	1957	0.680000	
HCl	2	C0020259	1945	1	1945	1.000000	
HCl	2	C0023443	1954	1	1987	0.738211	
Gas	2	C0016204	1945	2	1945	0.285714	
Gas	2	C0017110	1945	5	1950	1.000000	
PEP	2	C0031642	1950	2	1950	1.000000	
PEP	2	C0135981	1980	17	1985	0.698113	
Torula	2	C0010414	1945	2	1994	0.949686	
Torula	2	C0010415	1945	2	1972	0.548780	
TPA	2	C0032143	1962	1	1962	1.000000	
TPA	2	C0039654	1975	35	1975	1.000000	
Eels	2	C0013671	1946	1	1946	1.000000	
Eels	2	C0677644	2004	15	2008	0.312925	
Fe	2	C0302583	1945	21	1945	1.000000	
Fe	2	C0376520	1946	1	2011	0.120229	
Phosphorus	2	C0031705	1945	17	1966	1.000000	
Phosphorus	2	C0080014	1945	4	1948	0.335714	
HR	2	C0010343	1950	6	1954	0.578947	
HR	2	C0018810	1945	2	1945	1.000000	
pI	2	C0022171	1945	1	1945	1.000000	
pI	2	C0812425	1947	1	1947	1.000000	
Cortical	3	C0001613	1945	7	1950	0.651584	
Cortical	3	C0007776	1945	12	1966	1.000000	
Cortical	3	C0022655	1947	1	1974	0.202593	
NPC	2	C0028587	1959	1	1959	1.000000	
NPC	2	C0220756	2006	69	2018	0.350394	
DON	2	C0012020	1956	2	1957	1.000000	
DON	2	C0028652	1948	1	1948	1.000000	
CTX	2	C0010583	1951	1	1951	1.000000	
CTX	2	C0238052	1957	1	1957	1.000000	
PAC	2	C0033036	1949	1	1949	1.000000	
PAC	2	C0949780	2001	12	2005	0.697674	
BLM	2	C0005740	1970	1	1970	1.000000	
BLM	2	C0005859	1954	1	1954	1.000000	
NEUROFIBROMATOSIS	2	C0085113	1990	11	1990	1.000000	
NEUROFIBROMATOSIS	2	C0162678	1945	3	1945	1.000000	
POL	2	C0017360	1989	3	1995	0.457792	
POL	2	C0032356	1946	5	1946	1.000000	
Moles	2	C0027960	1945	3	1945	1.000000	
Moles	2	C0324740	1946	3	2008	0.563123	
SARS	2	C1175175	1953	1	2002	0.750000	
SARS	2	C1175743	1953	1	2014	0.622034	
TSF	2	C0021756	1964	1	1964	1.000000	
TSF	2	C0040052	1958	3	1958	1.000000	
Callus	2	C0006767	1947	2	1948	1.000000	
Callus	2	C0376154	1947	2	1968	1.000000	
Cholera	2	C0008354	1945	17	1945	1.000000	
Cholera	2	C0008359	1946	1	1990	0.327731	
Follicles	2	C0018120	1945	1	1946	1.000000	
Follicles	2	C0221971	1945	1	1962	0.653846	
Laryngeal	2	C0023078	1945	14	1966	1.000000	
Laryngeal	2	C0023081	1945	1	1965	0.153226	
Orf	2	C0013570	1946	1	1946	1.000000	
Orf	2	C0079941	1982	2	2019	1.000000	
TRF	2	C0021759	1980	7	2017	0.623377	
TRF	2	C0040162	1956	1	1956	1.000000	
Retinal	2	C0035298	1944	2	1944	1.000000	
Retinal	2	C0035331	1945	2	1945	0.285714	
ADP	2	C0001459	1947	1	1947	1.000000	
ADP	2	C0004374	1959	1	1968	1.000000	
dC	2	C0011485	1958	2	1961	1.000000	
dC	2	C0012764	1945	1	1945	1.000000	
Brucella abortus	2	C0006304	1943	1	1943	1.000000	
Brucella abortus	2	C0302363	1946	1	1965	0.552632	
PVC	2	C0032624	1947	2	1947	1.000000	
PVC	2	C0151636	1946	1	1946	1.000000	
lens	3	C0023308	1952	3	1953	0.054054	
lens	3	C0023317	1945	8	1991	0.976935	
lens	3	C0023318	1945	6	1947	0.593750	
Respiration	2	C0035203	1945	16	1966	1.000000	
Respiration	2	C0282636	1945	11	1949	0.426667	
tomography	2	C0040395	1947	3	1966	1.000000	
tomography	2	C0040405	1945	1	1945	1.000000	
Cardiac pacemaker	2	C0030163	1949	1	1950	1.000000	
Cardiac pacemaker	2	C0037189	1949	1	1952	1.000000	
ADA	2	C0001457	1946	2	1957	1.000000	
ADA	2	C0002456	1946	3	1947	1.000000	
STEM	2	C0162731	1947	1	1955	1.000000	
STEM	2	C0242767	1945	1	1945	1.000000	
MCC	2	C0007129	1953	1	1953	1.000000	
MCC	2	C0162804	1991	1	2014	0.215700	
SS	2	C0039101	1945	1	1945	1.000000	
SS	2	C0085077	1964	1	2007	0.559846	
CRF	2	C0010132	1956	1	1987	0.648318	
CRF	2	C0022661	1950	3	1950	1.000000	
Tolerance	2	C0013220	1945	2	1985	0.750594	
