YEAR	C0002463	C0003243	
1950	1.000000	0.000000	
1951	0.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	0.000000	0.000000	
1955	1.000000	0.000000	
1956	0.000000	0.000000	
1957	0.000000	0.000000	
1958	0.000000	0.000000	
1959	0.000000	1.000000	
1960	0.000000	1.000000	
1961	0.000000	1.000000	
1962	0.000000	1.000000	
1963	0.071429	0.928571	
1964	0.000000	1.000000	
1965	0.142857	0.857143	
1966	0.619048	0.380952	
1967	0.075000	0.925000	
1968	0.181818	0.818182	
1969	0.219512	0.780488	
1970	0.163934	0.836066	
1971	0.196429	0.803571	
1972	0.185714	0.814286	
1973	0.118644	0.881356	
1974	0.206349	0.793651	
1975	0.089474	0.910526	
1976	0.115207	0.884793	
1977	0.089844	0.910156	
1978	0.102941	0.897059	
1979	0.113208	0.886792	
1980	0.170732	0.829268	
1981	0.051163	0.948837	
1982	0.094828	0.905172	
1983	0.064417	0.935583	
1984	0.077703	0.922297	
1985	0.058065	0.941935	
1986	0.080000	0.920000	
1987	0.137584	0.862416	
1988	0.145299	0.854701	
1989	0.172414	0.827586	
1990	0.159420	0.840580	
1991	0.144295	0.855705	
1992	0.165441	0.834559	
1993	0.196970	0.803030	
1994	0.135922	0.864078	
1995	0.167785	0.832215	
1996	0.169192	0.830808	
1997	0.122340	0.877660	
1998	0.093248	0.906752	
1999	0.094395	0.905605	
2000	0.033079	0.966921	
2001	0.083077	0.916923	
2002	0.076733	0.923267	
2003	0.063197	0.936803	
2004	0.047101	0.952899	
2005	0.104558	0.895442	
2006	0.038356	0.961644	
2007	0.026471	0.973529	
2008	0.046771	0.953229	
2009	0.028239	0.971761	
2010	0.014737	0.985263	
2011	0.012500	0.987500	
2012	0.013109	0.986891	
2013	0.015366	0.984634	
2014	0.009893	0.990107	
2015	0.014778	0.985222	
2016	0.018362	0.981638	
2017	0.004582	0.995418	
2018	0.000000	1.000000	
