YEAR	C0006012	C0006287	
1956	1.000000	0.000000	
1957	0.000000	0.000000	
1958	0.000000	0.000000	
1959	0.000000	0.000000	
1960	0.000000	0.000000	
1961	0.000000	0.000000	
1962	0.000000	0.000000	
1963	0.000000	0.000000	
1964	1.000000	0.000000	
1965	0.000000	0.000000	
1966	0.000000	0.000000	
1967	0.000000	0.000000	
1968	0.000000	0.000000	
1969	0.000000	0.000000	
1970	0.000000	0.000000	
1971	0.000000	0.000000	
1972	0.000000	0.000000	
1973	0.000000	0.000000	
1974	0.000000	0.000000	
1975	0.000000	0.000000	
1976	0.000000	0.000000	
1977	0.000000	0.000000	
1978	0.000000	0.000000	
1979	0.000000	0.000000	
1980	1.000000	0.000000	
1981	0.666667	0.333333	
1982	0.360465	0.639535	
1983	0.615385	0.384615	
1984	0.469880	0.530120	
1985	0.555556	0.444444	
1986	0.476793	0.523207	
1987	0.465909	0.534091	
1988	0.396296	0.603704	
1989	0.480519	0.519481	
1990	0.320755	0.679245	
1991	0.456647	0.543353	
1992	0.323913	0.676087	
1993	0.591579	0.408421	
1994	0.526442	0.473558	
1995	0.402469	0.597531	
1996	0.363636	0.636364	
1997	0.432271	0.567729	
1998	0.330909	0.669091	
1999	0.648402	0.351598	
2000	0.641851	0.358149	
2001	0.525597	0.474403	
2002	0.691803	0.308197	
2003	0.560606	0.439394	
2004	0.545090	0.454910	
2005	0.647569	0.352431	
2006	0.646115	0.353885	
2007	0.624733	0.375267	
2008	0.670123	0.329877	
2009	0.764362	0.235638	
2010	0.668566	0.331434	
2011	0.600690	0.399310	
2012	0.593321	0.406679	
2013	0.598314	0.401686	
2014	0.540459	0.459541	
2015	0.598708	0.401292	
2016	0.612114	0.387886	
2017	0.510288	0.489712	
2018	0.569028	0.430972	
