YEAR	C0006304	C0302363	
1943	1.000000	0.000000	
1944	0.000000	0.000000	
1945	0.000000	0.000000	
1946	0.888889	0.111111	
1947	0.750000	0.250000	
1948	0.785714	0.214286	
1949	1.000000	0.000000	
1950	0.904762	0.095238	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	0.944444	0.055556	
1959	0.900000	0.100000	
1960	0.785714	0.214286	
1961	0.636364	0.363636	
1962	0.787879	0.212121	
1963	0.750000	0.250000	
1964	0.869565	0.130435	
1965	0.447368	0.552632	
1966	0.625000	0.375000	
1967	0.510204	0.489796	
1968	0.682927	0.317073	
1969	0.681818	0.318182	
1970	0.571429	0.428571	
1971	0.700000	0.300000	
1972	0.680000	0.320000	
1973	0.636364	0.363636	
1974	0.689655	0.310345	
1975	0.788462	0.211538	
1976	0.560976	0.439024	
1977	0.671429	0.328571	
1978	0.647541	0.352459	
1979	0.723577	0.276423	
1980	0.539683	0.460317	
1981	0.711538	0.288462	
1982	0.623656	0.376344	
1983	0.587156	0.412844	
1984	0.626506	0.373494	
1985	0.561728	0.438272	
1986	0.585714	0.414286	
1987	0.670330	0.329670	
1988	0.651786	0.348214	
1989	0.695312	0.304688	
1990	0.739583	0.260417	
1991	0.813953	0.186047	
1992	0.820513	0.179487	
1993	0.708861	0.291139	
1994	0.758621	0.241379	
1995	0.693069	0.306931	
1996	0.744186	0.255814	
1997	0.800000	0.200000	
1998	0.654867	0.345133	
1999	0.654762	0.345238	
2000	0.732026	0.267974	
2001	0.767857	0.232143	
2002	0.649123	0.350877	
2003	0.792683	0.207317	
2004	0.835616	0.164384	
2005	0.700000	0.300000	
2006	0.869048	0.130952	
2007	0.787879	0.212121	
2008	0.733333	0.266667	
2009	0.613636	0.386364	
2010	0.655367	0.344633	
2011	0.683544	0.316456	
2012	0.736842	0.263158	
2013	0.652027	0.347973	
2014	0.574713	0.425287	
2015	0.563333	0.436667	
2016	0.680412	0.319588	
2017	0.522727	0.477273	
2018	0.737968	0.262032	
